时间,电压传感器值,电流传感器值,位移传感器值,
  21:34:19 ,66,0,0,
  21:34:19 ,66,0,0,
  21:34:19 ,66,0,0,
  21:34:19 ,66,0,0,
  21:34:18 ,66,0,0,
  21:34:18 ,66,0,0,
  21:34:18 ,66,0,0,
  21:34:18 ,66,0,0,
  21:34:18 ,66,0,0,
  21:34:17 ,66,0,0,
  21:34:17 ,66,0,0,
  21:34:17 ,66,0,0,
  21:34:17 ,66,0,0,
  21:34:17 ,66,0,0,
  21:34:16 ,66,0,0,
  21:34:16 ,66,0,0,
  21:34:16 ,66,0,0,
  21:34:16 ,66,0,0,
  21:34:16 ,66,0,0,
  21:34:15 ,66,0,0,
  21:34:15 ,66,0,0,
  21:34:15 ,66,0,0,
  21:34:15 ,66,0,0,
  21:34:15 ,66,0,0,
  21:34:14 ,66,0,0,
  21:34:14 ,66,0,0,
  21:34:14 ,66,0,0,
  21:34:14 ,66,0,0,
  21:34:14 ,66,0,0,
  21:34:13 ,66,0,0,
  21:34:13 ,66,0,0,
  21:34:13 ,66,0,0,
  21:34:13 ,66,0,0,
  21:34:13 ,66,0,0,
  21:34:12 ,66,0,0,
  21:34:12 ,66,0,0,
  21:34:12 ,66,0,0,
  21:34:12 ,66,0,0,
  21:34:12 ,66,0,0,
  21:34:11 ,66,0,0,
  21:34:11 ,66,0,0,
  21:34:11 ,66,0,0,
  21:34:11 ,66,0,0,
  21:34:11 ,66,0,0,
  21:34:10 ,66,0,0,
  21:34:10 ,66,0,0,
  21:34:10 ,66,0,0,
  21:34:10 ,64,18,0,
  21:34:10 ,28,95,0,
  21:34:09 ,26,95,0,
  21:34:09 ,23,98,0,
  21:34:09 ,23,98,0,
  21:34:09 ,24,99,0,
  21:34:09 ,23,97,0,
  21:34:08 ,26,94,0,
  21:34:08 ,23,96,0,
  21:34:08 ,23,97,0,
  21:34:08 ,25,96,0,
  21:34:08 ,25,95,0,
  21:34:07 ,28,94,0,
  21:34:07 ,27,94,0,
  21:34:07 ,25,95,0,
  21:34:07 ,23,98,0,
  21:34:07 ,24,97,0,
  21:34:06 ,27,95,0,
  21:34:06 ,25,98,0,
  21:34:06 ,25,97,0,
  21:34:06 ,23,96,0,
  21:34:06 ,30,91,0,
  21:34:05 ,24,96,0,
  21:34:05 ,27,96,0,
  21:34:05 ,27,94,0,
  21:34:05 ,29,93,0,
  21:34:05 ,29,93,0,
  21:34:04 ,27,93,0,
  21:34:04 ,27,94,0,
  21:34:04 ,25,96,0,
  21:34:04 ,25,97,0,
  21:34:04 ,25,95,0,
  21:34:03 ,25,96,0,
  21:34:03 ,26,96,0,
  21:34:03 ,25,96,0,
  21:34:03 ,24,97,0,
  21:34:03 ,23,98,0,
  21:34:02 ,27,95,0,
  21:34:02 ,23,97,0,
  21:34:02 ,25,97,0,
  21:34:02 ,25,96,0,
  21:34:02 ,25,98,0,
  21:34:01 ,23,98,0,
  21:34:01 ,27,97,0,
  21:34:01 ,21,100,0,
  21:34:01 ,25,97,0,
  21:34:01 ,26,96,0,
  21:34:00 ,25,95,0,
  21:34:00 ,24,97,0,
  21:34:00 ,26,95,0,
  21:34:00 ,27,95,0,
  21:34:00 ,23,98,0,
  21:33:59 ,23,98,0,
  21:33:59 ,26,96,0,
  21:33:59 ,27,96,0,
  21:33:59 ,23,98,0,
  21:33:59 ,24,97,0,
  21:33:58 ,26,96,0,
  21:33:58 ,25,98,0,
  21:33:58 ,25,98,0,
  21:33:58 ,26,95,0,
  21:33:58 ,22,98,0,
  21:33:57 ,28,93,0,
  21:33:57 ,24,98,0,
  21:33:57 ,24,97,0,
  21:33:57 ,22,99,0,
  21:33:57 ,22,100,0,
  21:33:56 ,27,96,0,
  21:33:56 ,22,100,0,
  21:33:56 ,23,100,0,
  21:33:56 ,25,98,0,
  21:33:56 ,28,97,0,
  21:33:55 ,24,97,0,
  21:33:55 ,23,99,0,
  21:33:55 ,28,93,0,
  21:33:55 ,28,94,0,
  21:33:55 ,26,96,0,
  21:33:54 ,27,95,0,
  21:33:54 ,26,95,0,
  21:33:54 ,27,97,0,
  21:33:54 ,28,92,0,
  21:33:54 ,27,94,0,
  21:33:53 ,27,97,0,
  21:33:53 ,24,99,0,
  21:33:53 ,23,99,0,
  21:33:53 ,24,98,0,
  21:33:53 ,25,99,0,
  21:33:52 ,28,95,0,
  21:33:52 ,24,99,0,
  21:33:52 ,29,95,0,
  21:33:52 ,23,100,0,
  21:33:52 ,30,95,0,
  21:33:51 ,20,102,0,
  21:33:51 ,23,99,0,
  21:33:51 ,26,97,0,
  21:33:51 ,27,95,0,
  21:33:51 ,25,98,0,
  21:33:50 ,28,95,0,
  21:33:50 ,28,93,0,
  21:33:50 ,28,96,0,
  21:33:50 ,32,92,0,
  21:33:50 ,31,92,0,
  21:33:49 ,27,98,0,
  21:33:49 ,11,76,0,
  21:33:49 ,66,0,0,
  21:33:49 ,66,6,0,
  21:33:49 ,36,89,0,
  21:33:48 ,14,89,0,
  21:33:48 ,66,0,0,
  21:33:48 ,66,0,0,
  21:33:48 ,66,0,0,
  21:33:48 ,66,3,0,
  21:33:47 ,54,65,0,
  21:33:47 ,7,120,0,
  21:33:47 ,7,120,0,
  21:33:47 ,7,119,0,
  21:33:47 ,7,118,0,
  21:33:46 ,16,107,0,
