时间,电压传感器值,电流传感器值,位移传感器值
  20:45:46 ,68,0,0
  20:45:46 ,68,0,0
  20:45:46 ,68,0,0
  20:45:46 ,68,0,0
  20:45:45 ,68,0,0
  20:45:45 ,68,0,0
  20:45:45 ,68,0,0
  20:45:45 ,68,0,0
  20:45:45 ,68,0,0
  20:45:44 ,67,0,0
  20:45:44 ,67,0,0
  20:45:44 ,67,0,0
  20:45:44 ,68,0,0
  20:45:44 ,68,0,0
  20:45:43 ,68,0,0
  20:45:43 ,68,0,0
  20:45:43 ,68,0,0
  20:45:43 ,68,0,0
  20:45:43 ,68,0,0
  20:45:42 ,67,0,0
  20:45:42 ,68,0,0
  20:45:42 ,67,0,0
  20:45:42 ,67,0,0
  20:45:42 ,67,0,0
  20:45:41 ,67,0,0
  20:45:41 ,67,0,0
  20:45:41 ,67,0,0
  20:45:41 ,67,0,0
  20:45:41 ,67,0,0
  20:45:40 ,67,0,0
  20:45:40 ,67,0,0
  20:45:40 ,67,0,0
  20:45:40 ,67,0,0
  20:45:40 ,67,0,0
  20:45:39 ,67,0,0
  20:45:39 ,67,0,0
  20:45:39 ,67,0,0
  20:45:39 ,67,0,0
  20:45:39 ,67,0,0
  20:45:38 ,67,0,0
  20:45:38 ,67,0,0
  20:45:38 ,67,0,0
  20:45:38 ,67,0,0
  20:45:38 ,67,0,0
  20:45:37 ,67,0,0
  20:45:37 ,67,0,0
  20:45:37 ,67,0,0
  20:45:37 ,67,0,0
  20:45:37 ,67,0,0
  20:45:36 ,67,0,0
  20:45:36 ,67,0,0
  20:45:36 ,67,0,0
  20:45:36 ,67,0,0
  20:45:36 ,67,0,0
  20:45:35 ,67,0,0
  20:45:35 ,67,0,0
  20:45:35 ,67,0,0
  20:45:35 ,67,0,0
  20:45:35 ,67,0,0
  20:45:34 ,67,0,0
  20:45:34 ,67,0,0
  20:45:34 ,67,0,0
  20:45:34 ,67,0,0
  20:45:34 ,67,0,0
  20:45:33 ,67,0,0
  20:45:33 ,67,0,0
  20:45:33 ,67,0,0
  20:45:33 ,67,0,0
  20:45:33 ,67,0,0
  20:45:32 ,67,0,0
  20:45:32 ,67,0,0
  20:45:32 ,67,0,0
  20:45:32 ,67,0,0
  20:45:32 ,67,0,0
  20:45:31 ,67,0,0
  20:45:31 ,67,0,0
  20:45:31 ,67,0,0
  20:45:31 ,67,0,0
  20:45:31 ,67,0,0
  20:45:30 ,67,0,0
  20:45:30 ,67,0,0
  20:45:30 ,67,0,0
  20:45:30 ,67,0,0
  20:45:30 ,67,0,0
  20:45:29 ,67,0,0
  20:45:29 ,67,0,0
  20:45:29 ,67,0,0
  20:45:29 ,67,0,0
  20:45:29 ,67,0,0
  20:45:28 ,67,0,0
  20:45:28 ,67,0,0
  20:45:28 ,67,0,0
  20:45:28 ,67,0,0
  20:45:28 ,67,0,0
  20:45:27 ,67,0,0
  20:45:27 ,67,0,0
  20:45:27 ,67,0,0
  20:45:27 ,67,0,0
  20:45:27 ,67,9,0
  20:45:26 ,27,89,0
  20:45:26 ,26,91,0
  20:45:26 ,26,93,0
  20:45:26 ,26,94,0
  20:45:26 ,23,94,0
  20:45:25 ,27,92,0
  20:45:25 ,24,95,0
  20:45:25 ,27,91,0
  20:45:25 ,27,92,0
  20:45:25 ,23,97,0
  20:45:24 ,24,96,0
  20:45:24 ,23,94,0
  20:45:24 ,22,96,0
  20:45:24 ,23,93,0
  20:45:24 ,26,90,0
  20:45:23 ,28,90,0
  20:45:23 ,25,92,0
  20:45:23 ,23,95,0
  20:45:23 ,24,92,0
  20:45:23 ,29,89,0
  20:45:22 ,26,92,0
  20:45:22 ,28,89,0
  20:45:22 ,31,87,0
  20:45:22 ,23,94,0
  20:45:22 ,23,95,0
  20:45:21 ,20,96,0
  20:45:21 ,25,95,0
  20:45:21 ,25,92,0
  20:45:21 ,30,87,0
  20:45:21 ,29,87,0
  20:45:20 ,25,93,0
  20:45:20 ,27,91,0
  20:45:20 ,24,94,0
  20:45:20 ,21,98,0
  20:45:20 ,23,96,0
  20:45:19 ,21,98,0
  20:45:19 ,20,97,0
  20:45:19 ,27,90,0
  20:45:19 ,27,91,0
  20:45:19 ,25,94,0
  20:45:18 ,24,94,0
  20:45:18 ,25,92,0
  20:45:18 ,22,96,0
  20:45:18 ,21,97,0
  20:45:18 ,23,95,0
  20:45:17 ,24,96,0
  20:45:17 ,25,93,0
  20:45:17 ,23,94,0
  20:45:17 ,24,93,0
  20:45:17 ,25,94,0
  20:45:16 ,26,93,0
  20:45:16 ,27,92,0
  20:45:16 ,22,95,0
  20:45:16 ,23,95,0
  20:45:16 ,24,95,0
  20:45:15 ,24,93,0
  20:45:15 ,28,92,0
  20:45:15 ,24,94,0
  20:45:15 ,24,96,0
  20:45:15 ,24,95,0
  20:45:14 ,23,96,0
  20:45:14 ,21,97,0
  20:45:14 ,25,93,0
  20:45:14 ,24,93,0
  20:45:14 ,27,89,0
  20:45:13 ,26,92,0
