时间,电压传感器值,电流传感器值,位移传感器值,
  20:55:36 ,68,0,0,
  20:55:35 ,68,0,0,
  20:55:35 ,68,0,0,
  20:55:35 ,68,0,0,
  20:55:35 ,68,0,0,
  20:55:35 ,68,0,0,
  20:55:34 ,68,0,0,
  20:55:34 ,68,0,0,
  20:55:34 ,68,0,0,
  20:55:34 ,68,0,0,
  20:55:34 ,68,0,0,
  20:55:33 ,68,0,0,
  20:55:33 ,68,0,0,
  20:55:33 ,68,0,0,
  20:55:33 ,68,0,0,
  20:55:33 ,68,0,0,
  20:55:32 ,68,0,0,
  20:55:32 ,68,0,0,
  20:55:32 ,68,0,0,
  20:55:32 ,68,0,0,
  20:55:32 ,68,0,0,
  20:55:31 ,68,0,0,
  20:55:31 ,68,0,0,
  20:55:31 ,68,0,0,
  20:55:31 ,68,0,0,
  20:55:31 ,68,0,0,
  20:55:30 ,68,0,0,
  20:55:30 ,68,0,0,
  20:55:30 ,68,0,0,
  20:55:30 ,68,0,0,
  20:55:30 ,68,0,0,
  20:55:29 ,68,0,0,
  20:55:29 ,68,0,0,
  20:55:29 ,68,0,0,
  20:55:29 ,67,0,0,
  20:55:29 ,67,0,0,
  20:55:28 ,67,0,0,
  20:55:28 ,67,0,0,
  20:55:28 ,67,0,0,
  20:55:28 ,67,0,0,
  20:55:28 ,67,0,0,
  20:55:27 ,67,0,0,
  20:55:27 ,67,0,0,
  20:55:27 ,67,0,0,
  20:55:27 ,67,0,0,
  20:55:27 ,67,0,0,
  20:55:26 ,67,0,0,
  20:55:26 ,67,0,0,
  20:55:26 ,67,2,0,
  20:55:26 ,53,55,0,
  20:55:26 ,26,95,0,
  20:55:25 ,27,94,0,
  20:55:25 ,27,94,0,
  20:55:25 ,29,93,0,
  20:55:25 ,27,95,0,
  20:55:25 ,27,95,0,
  20:55:24 ,23,98,0,
  20:55:24 ,26,95,0,
  20:55:24 ,25,97,0,
  20:55:24 ,26,96,0,
  20:55:24 ,25,97,0,
  20:55:23 ,25,96,0,
