时间,电压传感器值,电流传感器值,位移传感器值
  21:17:09 ,67,0,0
  21:17:09 ,67,0,0
  21:17:09 ,67,0,0
  21:17:09 ,67,0,0
  21:17:09 ,67,0,0
  21:17:08 ,67,0,0
  21:17:08 ,67,0,0
  21:17:08 ,67,0,0
  21:17:08 ,67,0,0
  21:17:08 ,67,0,0
  21:17:07 ,67,0,0
  21:17:07 ,67,0,0
  21:17:07 ,67,0,0
  21:17:07 ,67,0,0
  21:17:07 ,67,0,0
  21:17:06 ,67,0,0
  21:17:06 ,67,0,0
  21:17:06 ,67,0,0
  21:17:06 ,67,0,0
  21:17:06 ,67,0,0
  21:17:05 ,67,0,0
  21:17:05 ,67,0,0
  21:17:05 ,67,0,0
  21:17:05 ,67,0,0
  21:17:05 ,67,0,0
  21:17:04 ,67,0,0
  21:17:04 ,67,0,0
  21:17:04 ,67,0,0
  21:17:04 ,67,0,0
  21:17:04 ,67,0,0
  21:17:03 ,67,0,0
  21:17:03 ,67,0,0
  21:17:03 ,67,0,0
  21:17:03 ,67,0,0
  21:17:03 ,67,0,0
  21:17:02 ,67,0,0
  21:17:02 ,67,0,0
  21:17:02 ,67,0,0
  21:17:02 ,67,0,0
  21:17:02 ,67,0,0
  21:17:01 ,67,0,0
  21:17:01 ,67,0,0
  21:17:01 ,67,0,0
  21:17:01 ,67,0,0
  21:17:01 ,67,0,0
  21:17:00 ,67,1,0
  21:17:00 ,66,18,0
  21:17:00 ,30,95,0
  21:17:00 ,23,100,0
  21:17:00 ,22,100,0
  21:16:59 ,19,102,0
  21:16:59 ,26,97,0
  21:16:59 ,28,95,0
  21:16:59 ,25,96,0
  21:16:59 ,26,96,0
  21:16:58 ,26,97,0
  21:16:58 ,26,97,0
  21:16:58 ,27,97,0
  21:16:58 ,22,103,0
  21:16:58 ,22,100,0
  21:16:57 ,28,93,0
  21:16:57 ,31,90,0
  21:16:57 ,31,91,0
  21:16:57 ,27,95,0
  21:16:57 ,28,95,0
  21:16:56 ,26,97,0
  21:16:56 ,25,99,0
  21:16:56 ,20,101,0
  21:16:56 ,27,96,0
  21:16:56 ,30,94,0
  21:16:55 ,27,97,0
  21:16:55 ,29,92,0
  21:16:55 ,28,93,0
  21:16:55 ,28,95,0
  21:16:55 ,26,96,0
  21:16:54 ,26,96,0
  21:16:54 ,29,94,0
  21:16:54 ,27,96,0
  21:16:54 ,25,97,0
  21:16:54 ,24,98,0
  21:16:53 ,25,98,0
  21:16:53 ,21,103,0
  21:16:53 ,21,102,0
  21:16:53 ,22,101,0
  21:16:53 ,26,97,0
  21:16:52 ,27,96,0
  21:16:52 ,21,102,0
  21:16:52 ,26,97,0
  21:16:52 ,27,96,0
  21:16:52 ,22,101,0
  21:16:51 ,23,101,0
  21:16:51 ,19,104,0
  21:16:51 ,21,100,0
  21:16:51 ,25,97,0
  21:16:51 ,25,99,0
  21:16:50 ,23,100,0
  21:16:50 ,23,100,0
  21:16:50 ,22,102,0
  21:16:50 ,27,97,0
  21:16:50 ,25,97,0
  21:16:49 ,27,97,0
  21:16:49 ,22,100,0
  21:16:49 ,23,99,0
  21:16:49 ,22,100,0
  21:16:49 ,25,100,0
  21:16:48 ,22,101,0
  21:16:48 ,26,99,0
  21:16:48 ,21,101,0
  21:16:48 ,24,99,0
  21:16:48 ,30,94,0
  21:16:47 ,28,96,0
  21:16:47 ,27,95,0
  21:16:47 ,26,98,0
  21:16:47 ,25,98,0
  21:16:47 ,23,100,0
  21:16:46 ,21,102,0
  21:16:46 ,21,102,0
  21:16:46 ,26,98,0
  21:16:46 ,27,96,0
  21:16:46 ,26,97,0
  21:16:45 ,26,99,0
  21:16:45 ,22,100,0
  21:16:45 ,24,99,0
  21:16:45 ,25,97,0
  21:16:45 ,25,99,0
  21:16:44 ,22,99,0
  21:16:44 ,23,99,0
  21:16:44 ,26,97,0
  21:16:44 ,27,97,0
  21:16:44 ,25,97,0
  21:16:43 ,27,97,0
  21:16:43 ,24,100,0
  21:16:43 ,20,103,0
  21:16:43 ,21,102,0
  21:16:43 ,23,102,0
  21:16:42 ,24,100,0
  21:16:42 ,24,99,0
  21:16:42 ,25,98,0
  21:16:42 ,28,96,0
  21:16:42 ,23,100,0
  21:16:41 ,27,95,0
  21:16:41 ,31,92,0
  21:16:41 ,31,92,0
  21:16:41 ,31,92,0
  21:16:41 ,29,95,0
  21:16:40 ,26,97,0
  21:16:40 ,26,100,0
  21:16:40 ,27,95,0
  21:16:40 ,30,93,0
  21:16:40 ,24,99,0
  21:16:39 ,27,97,0
  21:16:39 ,26,98,0
  21:16:39 ,25,99,0
  21:16:39 ,24,101,0
  21:16:39 ,22,104,0
  21:16:38 ,23,101,0
  21:16:38 ,23,102,0
  21:16:38 ,25,100,0
  21:16:38 ,22,104,0
  21:16:38 ,25,101,0
  21:16:37 ,21,103,0
  21:16:37 ,23,102,0
  21:16:37 ,23,103,0
  21:16:37 ,22,104,0
  21:16:37 ,21,104,0
  21:16:36 ,21,105,0
  21:16:36 ,22,104,0
  21:16:36 ,25,101,0
  21:16:36 ,22,105,0
  21:16:36 ,22,104,0
  21:16:35 ,21,105,0
  21:16:35 ,22,104,0
  21:16:35 ,22,104,0
  21:16:35 ,20,106,0
  21:16:35 ,21,104,0
  21:16:34 ,24,103,0
  21:16:34 ,24,104,0
  21:16:34 ,22,104,0
  21:16:34 ,24,102,0
  21:16:34 ,21,105,0
  21:16:33 ,23,102,0
  21:16:33 ,21,105,0
  21:16:33 ,22,103,0
  21:16:33 ,25,99,0
  21:16:33 ,26,99,0
  21:16:32 ,29,96,0
  21:16:32 ,27,98,0
  21:16:32 ,29,99,0
  21:16:32 ,21,104,0
  21:16:32 ,27,100,0
  21:16:31 ,25,99,0
  21:16:31 ,29,93,0
  21:16:31 ,41,67,0
  21:16:31 ,61,0,0
  21:16:31 ,68,0,0
  21:16:30 ,68,0,0
  21:16:30 ,68,0,0
  21:16:30 ,68,0,0
  21:16:30 ,68,0,0
  21:16:30 ,68,0,0
  21:16:29 ,68,0,0
  21:16:29 ,68,0,0
  21:16:29 ,68,0,0
  21:16:29 ,68,0,0
  21:16:29 ,68,0,0
  21:16:28 ,68,0,0
  21:16:28 ,68,0,0
  21:16:28 ,68,0,0
  21:16:28 ,68,0,0
  21:16:28 ,68,0,0
  21:16:27 ,68,0,0
  21:16:27 ,68,0,0
  21:16:27 ,68,0,0
  21:16:27 ,68,0,0
  21:16:27 ,68,0,0
  21:16:26 ,68,0,0
  21:16:26 ,68,0,0
  21:16:26 ,68,0,0
  21:16:26 ,68,0,0
  21:16:26 ,68,0,0
  21:16:25 ,68,0,0
  21:16:25 ,68,0,0
  21:16:25 ,68,0,0
  21:16:25 ,68,0,0
  21:16:25 ,68,0,0
  21:16:24 ,68,0,0
  21:16:24 ,68,0,0
  21:16:24 ,68,0,0
  21:16:24 ,68,0,0
  21:16:24 ,68,0,0
  21:16:23 ,68,0,0
  21:16:23 ,68,0,0
  21:16:23 ,68,0,0
  21:16:23 ,68,0,0
  21:16:23 ,68,0,0
  21:16:22 ,68,0,0
  21:16:22 ,68,0,0
  21:16:22 ,68,0,0
  21:16:22 ,68,0,0
  21:16:22 ,68,0,0
  21:16:21 ,68,0,0
  21:16:21 ,68,0,0
  21:16:21 ,68,0,0
  21:16:21 ,68,0,0
  21:16:21 ,68,0,0
  21:16:20 ,68,0,0
  21:16:20 ,68,0,0
  21:16:20 ,68,0,0
  21:16:20 ,68,0,0
  21:16:20 ,68,0,0
  21:16:19 ,68,0,0
  21:16:19 ,68,0,0
  21:16:19 ,68,0,0
  21:16:19 ,68,0,0
  21:16:19 ,68,0,0
  21:16:18 ,68,0,0
  21:16:18 ,68,0,0
  21:16:18 ,68,0,0
  21:16:18 ,68,0,0
  21:16:18 ,68,0,0
  21:16:17 ,68,0,0
  21:16:17 ,68,0,0
  21:16:17 ,68,0,0
  21:16:17 ,68,0,0
  21:16:17 ,68,0,0
  21:16:16 ,68,0,0
  21:16:16 ,68,0,0
  21:16:16 ,68,0,0
  21:16:16 ,68,0,0
  21:16:16 ,68,0,0
  21:16:15 ,68,0,0
  21:16:15 ,68,0,0
  21:16:15 ,68,0,0
  21:16:15 ,68,0,0
  21:16:15 ,68,0,0
  21:16:14 ,68,0,0
  21:16:14 ,68,0,0
  21:16:14 ,68,0,0
  21:16:14 ,68,0,0
  21:16:14 ,68,0,0
  21:16:13 ,68,0,0
  21:16:13 ,68,0,0
  21:16:13 ,68,0,0
  21:16:13 ,68,0,0
  21:16:13 ,68,0,0
  21:16:12 ,68,0,0
  21:16:12 ,68,0,0
  21:16:12 ,68,0,0
  21:16:12 ,68,0,0
  21:16:12 ,68,0,0
  21:16:11 ,68,0,0
  21:16:11 ,68,0,0
  21:16:11 ,68,0,0
  21:16:11 ,68,0,0
  21:16:11 ,68,0,0
  21:16:10 ,68,0,0
  21:16:10 ,68,0,0
  21:16:10 ,68,0,0
  21:16:10 ,68,0,0
  21:16:10 ,68,0,0
  21:16:09 ,68,0,0
  21:16:09 ,68,0,0
  21:16:09 ,68,0,0
  21:16:09 ,68,0,0
  21:16:09 ,68,0,0
  21:16:08 ,68,0,0
  21:16:08 ,68,0,0
  21:16:08 ,68,0,0
  21:16:08 ,68,0,0
  21:16:08 ,68,0,0
  21:16:07 ,68,0,0
  21:16:07 ,68,0,0
  21:16:07 ,68,0,0
  21:16:07 ,68,0,0
  21:16:07 ,68,0,0
  21:16:06 ,68,0,0
  21:16:06 ,68,0,0
  21:16:06 ,68,0,0
  21:16:06 ,68,0,0
  21:16:06 ,68,0,0
  21:16:05 ,68,0,0
  21:16:05 ,68,0,0
  21:16:05 ,68,0,0
  21:16:05 ,68,0,0
  21:16:05 ,68,0,0
  21:16:04 ,68,0,0
  21:16:04 ,68,0,0
  21:16:04 ,68,0,0
  21:16:04 ,68,0,0
  21:16:04 ,68,0,0
  21:16:03 ,68,0,0
  21:16:03 ,68,0,0
  21:16:03 ,68,0,0
  21:16:03 ,68,0,0
  21:16:03 ,68,0,0
  21:16:02 ,68,0,0
  21:16:02 ,68,0,0
  21:16:02 ,68,0,0
  21:16:02 ,68,0,0
  21:16:02 ,68,0,0
  21:16:01 ,68,0,0
  21:16:01 ,68,0,0
  21:16:01 ,68,0,0
  21:16:01 ,68,0,0
  21:16:01 ,68,0,0
  21:16:00 ,68,0,0
  21:16:00 ,68,0,0
  21:16:00 ,68,0,0
  21:16:00 ,68,0,0
  21:16:00 ,68,0,0
  21:15:59 ,68,0,0
  21:15:59 ,68,0,0
  21:15:59 ,68,0,0
  21:15:59 ,68,0,0
  21:15:59 ,68,0,0
  21:15:58 ,68,0,0
  21:15:58 ,68,0,0
  21:15:58 ,68,0,0
