时间,电压传感器值,电流传感器值,位移传感器值
  21:14:24 ,67,0,0
  21:14:23 ,67,0,0
  21:14:23 ,66,0,0
  21:14:23 ,66,0,0
  21:14:23 ,67,0,0
  21:14:23 ,66,0,0
  21:14:22 ,66,0,0
  21:14:22 ,66,0,0
  21:14:22 ,66,0,0
  21:14:22 ,66,0,0
  21:14:22 ,66,0,0
  21:14:21 ,66,0,0
  21:14:21 ,66,0,0
  21:14:21 ,66,0,0
  21:14:21 ,66,0,0
  21:14:21 ,66,0,0
  21:14:20 ,67,0,0
  21:14:20 ,66,0,0
  21:14:20 ,66,0,0
  21:14:20 ,66,0,0
  21:14:20 ,66,0,0
  21:14:19 ,66,0,0
  21:14:19 ,66,0,0
  21:14:19 ,66,0,0
  21:14:19 ,66,0,0
  21:14:19 ,66,0,0
  21:14:18 ,66,0,0
  21:14:18 ,66,0,0
  21:14:18 ,66,10,0
  21:14:18 ,27,94,0
  21:14:18 ,26,93,0
  21:14:17 ,28,92,0
  21:14:17 ,28,90,0
  21:14:17 ,28,92,0
  21:14:17 ,21,98,0
  21:14:17 ,28,91,0
  21:14:16 ,23,96,0
  21:14:16 ,23,97,0
  21:14:16 ,25,95,0
  21:14:16 ,25,94,0
  21:14:16 ,24,96,0
  21:14:15 ,23,98,0
  21:14:15 ,24,97,0
  21:14:15 ,23,97,0
  21:14:15 ,26,93,0
  21:14:15 ,26,93,0
  21:14:14 ,26,94,0
  21:14:14 ,22,97,0
  21:14:14 ,22,98,0
  21:14:14 ,20,100,0
  21:14:14 ,20,99,0
  21:14:13 ,25,95,0
  21:14:13 ,25,95,0
  21:14:13 ,24,95,0
  21:14:13 ,27,93,0
  21:14:13 ,27,93,0
  21:14:12 ,21,97,0
  21:14:12 ,22,98,0
  21:14:12 ,22,98,0
  21:14:12 ,25,95,0
  21:14:12 ,23,95,0
  21:14:11 ,27,93,0
  21:14:11 ,23,97,0
  21:14:11 ,22,97,0
  21:14:11 ,25,95,0
  21:14:11 ,24,97,0
  21:14:10 ,24,95,0
  21:14:10 ,24,95,0
  21:14:10 ,22,97,0
  21:14:10 ,28,92,0
  21:14:10 ,27,94,0
  21:14:09 ,23,97,0
  21:14:09 ,25,95,0
  21:14:09 ,24,96,0
  21:14:09 ,21,97,0
  21:14:09 ,25,96,0
  21:14:08 ,25,96,0
  21:14:08 ,23,96,0
  21:14:08 ,23,95,0
  21:14:08 ,27,94,0
  21:14:08 ,27,93,0
  21:14:07 ,22,99,0
  21:14:07 ,23,98,0
  21:14:07 ,23,98,0
  21:14:07 ,27,94,0
  21:14:07 ,26,95,0
  21:14:06 ,23,98,0
  21:14:06 ,21,98,0
  21:14:06 ,24,95,0
  21:14:06 ,28,92,0
  21:14:06 ,27,93,0
  21:14:05 ,25,95,0
  21:14:05 ,23,98,0
  21:14:05 ,25,95,0
  21:14:05 ,27,95,0
  21:14:05 ,25,95,0
  21:14:04 ,23,96,0
  21:14:04 ,24,97,0
  21:14:04 ,23,98,0
  21:14:04 ,24,96,0
  21:14:04 ,24,97,0
  21:14:03 ,24,96,0
  21:14:03 ,24,97,0
  21:14:03 ,21,97,0
  21:14:03 ,22,99,0
  21:14:03 ,21,98,0
  21:14:02 ,25,96,0
  21:14:02 ,22,98,0
  21:14:02 ,23,97,0
  21:14:02 ,25,94,0
  21:14:02 ,27,93,0
  21:14:01 ,22,99,0
  21:14:01 ,23,98,0
  21:14:01 ,21,99,0
  21:14:01 ,25,96,0
  21:14:01 ,24,98,0
  21:14:00 ,22,99,0
  21:14:00 ,21,100,0
  21:14:00 ,23,98,0
  21:14:00 ,26,94,0
  21:14:00 ,26,94,0
  21:13:59 ,29,92,0
  21:13:59 ,25,96,0
  21:13:59 ,20,101,0
  21:13:59 ,23,98,0
  21:13:59 ,24,97,0
  21:13:58 ,25,96,0
