时间,电压传感器值,电流传感器值,位移传感器值,
  20:58:37 ,68,0,0,
  20:58:37 ,68,0,0,
  20:58:37 ,68,0,0,
  20:58:36 ,68,0,0,
  20:58:36 ,68,0,0,
  20:58:36 ,68,0,0,
  20:58:36 ,68,0,0,
  20:58:36 ,67,0,0,
  20:58:35 ,67,0,0,
  20:58:35 ,67,0,0,
  20:58:35 ,67,0,0,
  20:58:35 ,67,0,0,
  20:58:35 ,67,0,0,
  20:58:34 ,67,0,0,
  20:58:34 ,67,0,0,
  20:58:34 ,67,0,0,
  20:58:34 ,67,0,0,
  20:58:34 ,67,0,0,
  20:58:33 ,67,0,0,
  20:58:33 ,67,0,0,
  20:58:33 ,67,0,0,
  20:58:33 ,67,0,0,
  20:58:33 ,66,0,0,
  20:58:32 ,66,0,0,
  20:58:32 ,66,0,0,
  20:58:32 ,66,0,0,
  20:58:32 ,66,0,0,
  20:58:32 ,66,0,0,
  20:58:31 ,66,0,0,
  20:58:31 ,66,0,0,
  20:58:31 ,66,0,0,
  20:58:31 ,66,0,0,
  20:58:31 ,66,0,0,
  20:58:30 ,66,0,0,
  20:58:30 ,66,0,0,
  20:58:30 ,66,0,0,
  20:58:30 ,66,0,0,
  20:58:30 ,66,0,0,
  20:58:29 ,66,0,0,
  20:58:29 ,66,0,0,
  20:58:29 ,66,0,0,
  20:58:29 ,66,2,0,
  20:58:29 ,57,42,0,
  20:58:28 ,25,96,0,
  20:58:28 ,23,98,0,
  20:58:28 ,27,93,0,
  20:58:28 ,23,97,0,
  20:58:28 ,23,99,0,
  20:58:27 ,24,96,0,
  20:58:27 ,24,96,0,
  20:58:27 ,24,96,0,
  20:58:27 ,24,96,0,
  20:58:27 ,19,100,0,
  20:58:26 ,22,99,0,
  20:58:26 ,23,99,0,
  20:58:26 ,21,101,0,
  20:58:26 ,20,101,0,
  20:58:26 ,19,101,0,
  20:58:25 ,22,96,0,
  20:58:25 ,22,98,0,
  20:58:25 ,22,97,0,
  20:58:25 ,24,96,0,
  20:58:25 ,22,100,0,
  20:58:24 ,20,100,0,
  20:58:24 ,23,97,0,
  20:58:24 ,24,97,0,
  20:58:24 ,24,97,0,
  20:58:24 ,20,99,0,
  20:58:23 ,23,99,0,
  20:58:23 ,20,100,0,
  20:58:23 ,23,97,0,
  20:58:23 ,25,97,0,
  20:58:23 ,27,92,0,
  20:58:22 ,27,93,0,
  20:58:22 ,27,95,0,
  20:58:22 ,22,98,0,
  20:58:22 ,25,95,0,
  20:58:22 ,25,94,0,
  20:58:21 ,26,97,0,
  20:58:21 ,20,100,0,
  20:58:21 ,24,98,0,
  20:58:21 ,21,100,0,
  20:58:21 ,20,100,0,
  20:58:20 ,20,101,0,
  20:58:20 ,24,97,0,
  20:58:20 ,22,98,0,
  20:58:20 ,25,97,0,
  20:58:20 ,21,101,0,
  20:58:19 ,25,97,0,
  20:58:19 ,23,97,0,
  20:58:19 ,24,97,0,
  20:58:19 ,22,100,0,
  20:58:19 ,20,99,0,
  20:58:18 ,20,100,0,
  20:58:18 ,20,99,0,
  20:58:18 ,22,99,0,
  20:58:18 ,29,92,0,
  20:58:18 ,23,97,0,
  20:58:17 ,28,92,0,
  20:58:17 ,27,92,0,
  20:58:17 ,29,91,0,
  20:58:17 ,25,96,0,
  20:58:17 ,23,98,0,
  20:58:16 ,24,98,0,
  20:58:16 ,20,101,0,
  20:58:16 ,21,100,0,
  20:58:16 ,22,97,0,
  20:58:16 ,26,96,0,
  20:58:15 ,21,99,0,
  20:58:15 ,26,95,0,
  20:58:15 ,28,92,0,
  20:58:15 ,23,96,0,
  20:58:15 ,23,97,0,
  20:58:14 ,24,97,0,
  20:58:14 ,27,92,0,
  20:58:14 ,27,95,0,
  20:58:14 ,22,100,0,
  20:58:14 ,19,101,0,
  20:58:13 ,20,100,0,
  20:58:13 ,24,96,0,
  20:58:13 ,22,100,0,
  20:58:13 ,24,97,0,
  20:58:13 ,22,100,0,
  20:58:12 ,21,99,0,
  20:58:12 ,22,98,0,
  20:58:12 ,23,95,0,
  20:58:12 ,28,93,0,
  20:58:12 ,25,95,0,
  20:58:11 ,21,100,0,
  20:58:11 ,21,100,0,
  20:58:11 ,23,99,0,
  20:58:11 ,23,98,0,
  20:58:11 ,19,101,0,
  20:58:10 ,21,99,0,
  20:58:10 ,21,98,0,
  20:58:10 ,24,98,0,
  20:58:10 ,23,98,0,
  20:58:10 ,21,98,0,
  20:58:09 ,23,98,0,
  20:58:09 ,22,100,0,
  20:58:09 ,23,99,0,
  20:58:09 ,23,99,0,
  20:58:09 ,20,100,0,
  20:58:08 ,21,101,0,
  20:58:08 ,25,93,0,
  20:58:08 ,29,91,0,
  20:58:08 ,27,94,0,
  20:58:08 ,25,95,0,
  20:58:07 ,22,98,0,
  20:58:07 ,23,97,0,
  20:58:07 ,26,94,0,
  20:58:07 ,25,97,0,
  20:58:07 ,25,96,0,
  20:58:06 ,21,100,0,
  20:58:06 ,20,99,0,
  20:58:06 ,23,97,0,
  20:58:06 ,24,96,0,
  20:58:06 ,27,93,0,
  20:58:05 ,24,96,0,
  20:58:05 ,22,98,0,
  20:58:05 ,21,99,0,
  20:58:05 ,23,97,0,
  20:58:05 ,22,99,0,
  20:58:04 ,24,98,0,
  20:58:04 ,25,96,0,
  20:58:04 ,20,101,0,
  20:58:04 ,24,97,0,
  20:58:04 ,25,94,0,
