时间,电压传感器值,电流传感器值,位移传感器值
  21:15:29 ,67,0,0
  21:15:29 ,67,0,0
  21:15:29 ,67,0,0
  21:15:29 ,67,0,0
  21:15:28 ,67,0,0
  21:15:28 ,67,0,0
  21:15:28 ,67,0,0
  21:15:28 ,67,0,0
  21:15:28 ,67,0,0
  21:15:27 ,67,0,0
  21:15:27 ,67,0,0
  21:15:27 ,67,0,0
  21:15:27 ,67,0,0
  21:15:27 ,67,0,0
  21:15:26 ,67,0,0
  21:15:26 ,67,0,0
  21:15:26 ,67,0,0
  21:15:26 ,67,0,0
  21:15:26 ,67,0,0
  21:15:25 ,67,0,0
  21:15:25 ,67,0,0
  21:15:25 ,67,0,0
  21:15:25 ,67,0,0
  21:15:25 ,67,0,0
  21:15:24 ,67,0,0
  21:15:24 ,67,0,0
  21:15:24 ,67,0,0
  21:15:24 ,67,0,0
  21:15:24 ,67,0,0
  21:15:23 ,67,8,0
  21:15:23 ,38,81,0
  21:15:23 ,28,93,0
  21:15:23 ,26,95,0
  21:15:23 ,25,95,0
  21:15:22 ,29,93,0
  21:15:22 ,29,93,0
  21:15:22 ,25,98,0
  21:15:22 ,23,98,0
  21:15:22 ,23,99,0
  21:15:21 ,27,95,0
  21:15:21 ,24,97,0
  21:15:21 ,27,95,0
  21:15:21 ,23,97,0
  21:15:21 ,25,96,0
  21:15:20 ,23,99,0
  21:15:20 ,21,100,0
  21:15:20 ,21,100,0
  21:15:20 ,23,98,0
  21:15:20 ,25,97,0
  21:15:19 ,27,94,0
  21:15:19 ,27,94,0
  21:15:19 ,28,94,0
  21:15:19 ,28,91,0
  21:15:19 ,29,90,0
  21:15:18 ,28,94,0
  21:15:18 ,27,94,0
  21:15:18 ,27,94,0
  21:15:18 ,27,94,0
  21:15:18 ,27,94,0
  21:15:17 ,27,95,0
  21:15:17 ,25,96,0
  21:15:17 ,29,93,0
  21:15:17 ,28,93,0
  21:15:17 ,30,91,0
  21:15:16 ,28,94,0
  21:15:16 ,29,92,0
  21:15:16 ,28,93,0
  21:15:16 ,28,96,0
  21:15:16 ,28,94,0
  21:15:15 ,23,99,0
  21:15:15 ,27,95,0
  21:15:15 ,24,98,0
  21:15:15 ,26,97,0
  21:15:15 ,27,96,0
  21:15:14 ,23,99,0
  21:15:14 ,27,95,0
  21:15:14 ,26,95,0
  21:15:14 ,27,96,0
  21:15:14 ,22,99,0
  21:15:13 ,24,99,0
  21:15:13 ,25,99,0
  21:15:13 ,22,100,0
  21:15:13 ,23,100,0
  21:15:13 ,21,100,0
  21:15:12 ,26,96,0
  21:15:12 ,27,95,0
  21:15:12 ,26,98,0
  21:15:12 ,25,98,0
  21:15:12 ,26,97,0
  21:15:11 ,27,95,0
  21:15:11 ,22,100,0
  21:15:11 ,27,97,0
  21:15:11 ,23,97,0
  21:15:11 ,25,98,0
  21:15:10 ,22,101,0
  21:15:10 ,25,99,0
  21:15:10 ,22,101,0
  21:15:10 ,23,99,0
  21:15:10 ,25,97,0
  21:15:09 ,21,100,0
  21:15:09 ,23,98,0
  21:15:09 ,27,95,0
  21:15:09 ,27,96,0
  21:15:09 ,27,96,0
  21:15:08 ,26,97,0
  21:15:08 ,27,98,0
  21:15:08 ,21,101,0
  21:15:08 ,28,95,0
  21:15:08 ,24,100,0
  21:15:07 ,25,99,0
  21:15:07 ,24,98,0
  21:15:07 ,22,97,0
  21:15:07 ,26,96,0
  21:15:07 ,25,95,0
  21:15:06 ,27,94,0
  21:15:06 ,25,96,0
  21:15:06 ,25,96,0
  21:15:06 ,21,99,0
  21:15:06 ,26,95,0
  21:15:05 ,27,96,0
  21:15:05 ,23,97,0
  21:15:05 ,27,94,0
  21:15:05 ,24,98,0
  21:15:05 ,28,94,0
  21:15:04 ,24,98,0
  21:15:04 ,24,98,0
  21:15:04 ,23,97,0
  21:15:04 ,29,94,0
  21:15:04 ,24,97,0
  21:15:03 ,26,96,0
  21:15:03 ,24,97,0
  21:15:03 ,25,96,0
  21:15:03 ,29,93,0
  21:15:03 ,26,95,0
  21:15:02 ,28,96,0
  21:15:02 ,24,98,0
  21:15:02 ,21,100,0
  21:15:02 ,24,99,0
  21:15:02 ,23,98,0
  21:15:01 ,24,97,0
  21:15:01 ,26,97,0
  21:15:01 ,24,98,0
  21:15:01 ,25,97,0
  21:15:01 ,24,97,0
  21:15:00 ,27,98,0
  21:15:00 ,25,97,0
  21:15:00 ,27,95,0
  21:15:00 ,28,95,0
  21:15:00 ,27,97,0
  21:14:59 ,23,99,0
  21:14:59 ,23,98,0
  21:14:59 ,22,99,0
  21:14:59 ,26,97,0
  21:14:59 ,25,97,0
  21:14:58 ,25,97,0
  21:14:58 ,20,100,0
  21:14:58 ,43,17,0
  21:14:58 ,67,0,0
  21:14:58 ,67,2,0
  21:14:57 ,56,63,0
  21:14:57 ,6,118,0
  21:14:57 ,6,113,0
  21:14:57 ,39,23,0
  21:14:57 ,67,0,0
  21:14:56 ,67,0,0
  21:14:56 ,67,0,0
  21:14:56 ,67,0,0
  21:14:56 ,67,0,0
  21:14:56 ,67,0,0
  21:14:55 ,67,0,0
  21:14:55 ,67,0,0
  21:14:55 ,67,8,0
  21:14:55 ,30,104,0
  21:14:55 ,23,92,0
  21:14:54 ,67,0,0
  21:14:54 ,67,0,0
  21:14:54 ,66,23,0
  21:14:54 ,7,111,0
  21:14:54 ,66,0,0
  21:14:53 ,67,0,0
  21:14:53 ,67,0,0
  21:14:53 ,67,0,0
  21:14:53 ,67,0,0
  21:14:53 ,67,0,0
  21:14:52 ,67,0,0
  21:14:52 ,67,0,0
  21:14:52 ,67,0,0
  21:14:52 ,67,0,0
  21:14:52 ,67,0,0
  21:14:51 ,67,0,0
  21:14:51 ,67,0,0
  21:14:51 ,67,0,0
  21:14:51 ,67,0,0
  21:14:51 ,67,0,0
  21:14:50 ,67,0,0
  21:14:50 ,67,0,0
  21:14:50 ,67,0,0
  21:14:50 ,67,0,0
  21:14:50 ,67,0,0
  21:14:49 ,67,0,0
  21:14:49 ,67,0,0
  21:14:49 ,67,0,0
  21:14:49 ,67,0,0
  21:14:49 ,67,0,0
  21:14:48 ,67,0,0
  21:14:48 ,67,0,0
  21:14:48 ,67,0,0
  21:14:48 ,67,0,0
  21:14:48 ,67,0,0
  21:14:47 ,67,0,0
  21:14:47 ,67,0,0
  21:14:47 ,67,0,0
  21:14:47 ,67,0,0
  21:14:47 ,67,0,0
  21:14:46 ,67,0,0
  21:14:46 ,67,0,0
  21:14:46 ,67,0,0
  21:14:46 ,67,0,0
  21:14:46 ,67,0,0
  21:14:45 ,67,0,0
  21:14:45 ,67,0,0
  21:14:45 ,67,0,0
  21:14:45 ,67,0,0
  21:14:45 ,67,0,0
  21:14:44 ,67,0,0
  21:14:44 ,67,0,0
  21:14:44 ,67,0,0
  21:14:44 ,67,0,0
  21:14:44 ,67,0,0
  21:14:43 ,67,0,0
  21:14:43 ,67,0,0
  21:14:43 ,67,0,0
  21:14:43 ,67,0,0
  21:14:43 ,67,0,0
  21:14:42 ,67,0,0
  21:14:42 ,67,0,0
  21:14:42 ,67,0,0
  21:14:42 ,67,0,0
  21:14:42 ,67,0,0
  21:14:41 ,67,0,0
  21:14:41 ,67,0,0
  21:14:41 ,67,0,0
  21:14:41 ,67,0,0
  21:14:41 ,67,0,0
  21:14:40 ,67,0,0
  21:14:40 ,67,0,0
  21:14:40 ,67,0,0
  21:14:40 ,67,0,0
  21:14:40 ,67,0,0
  21:14:39 ,67,0,0
  21:14:39 ,67,0,0
  21:14:39 ,67,0,0
  21:14:39 ,67,0,0
  21:14:39 ,67,0,0
  21:14:38 ,67,0,0
  21:14:38 ,67,0,0
  21:14:38 ,67,0,0
  21:14:38 ,67,0,0
  21:14:38 ,67,0,0
  21:14:37 ,67,0,0
  21:14:37 ,67,0,0
  21:14:37 ,67,0,0
  21:14:37 ,67,0,0
  21:14:37 ,67,0,0
  21:14:36 ,67,0,0
  21:14:36 ,67,0,0
  21:14:36 ,67,0,0
  21:14:36 ,67,0,0
  21:14:36 ,67,0,0
  21:14:35 ,67,0,0
  21:14:35 ,67,0,0
  21:14:35 ,67,0,0
  21:14:35 ,67,0,0
  21:14:35 ,67,0,0
  21:14:34 ,67,0,0
  21:14:34 ,67,0,0
  21:14:34 ,67,0,0
  21:14:34 ,67,0,0
  21:14:34 ,67,0,0
  21:14:33 ,67,0,0
  21:14:33 ,67,0,0
  21:14:33 ,67,0,0
  21:14:33 ,67,0,0
  21:14:33 ,67,0,0
  21:14:32 ,67,0,0
  21:14:32 ,67,0,0
  21:14:32 ,67,0,0
  21:14:32 ,67,0,0
  21:14:32 ,67,0,0
  21:14:31 ,67,0,0
  21:14:31 ,67,0,0
  21:14:31 ,67,0,0
  21:14:31 ,67,0,0
  21:14:31 ,67,0,0
  21:14:30 ,67,0,0
  21:14:30 ,67,0,0
  21:14:30 ,67,0,0
  21:14:30 ,67,0,0
  21:14:30 ,67,0,0
  21:14:29 ,67,0,0
  21:14:29 ,67,0,0
  21:14:29 ,67,0,0
  21:14:29 ,67,0,0
  21:14:29 ,67,0,0
