时间,电压传感器值,电流传感器值,位移传感器值,
  21:31:16 ,66,0,0,
  21:31:16 ,66,0,0,
  21:31:16 ,66,0,0,
  21:31:16 ,66,0,0,
  21:31:16 ,66,0,0,
  21:31:15 ,66,0,0,
  21:31:15 ,66,0,0,
  21:31:15 ,66,0,0,
  21:31:15 ,66,0,0,
  21:31:15 ,66,0,0,
  21:31:14 ,66,0,0,
  21:31:14 ,66,0,0,
  21:31:14 ,66,0,0,
  21:31:14 ,66,0,0,
  21:31:14 ,66,0,0,
  21:31:13 ,66,0,0,
  21:31:13 ,66,0,0,
  21:31:13 ,66,0,0,
  21:31:13 ,66,0,0,
  21:31:13 ,66,0,0,
  21:31:12 ,66,0,0,
  21:31:12 ,66,0,0,
  21:31:12 ,66,0,0,
  21:31:12 ,66,0,0,
  21:31:12 ,66,0,0,
  21:31:11 ,66,0,0,
  21:31:11 ,66,0,0,
  21:31:11 ,66,0,0,
  21:31:11 ,66,0,0,
  21:31:11 ,66,0,0,
  21:31:10 ,66,0,0,
  21:31:10 ,66,0,0,
  21:31:10 ,66,12,0,
  21:31:10 ,25,95,0,
  21:31:10 ,22,98,0,
  21:31:09 ,20,100,0,
  21:31:09 ,25,95,0,
  21:31:09 ,26,95,0,
  21:31:09 ,24,99,0,
  21:31:09 ,28,94,0,
  21:31:08 ,22,99,0,
  21:31:08 ,21,100,0,
  21:31:08 ,22,98,0,
  21:31:08 ,24,98,0,
  21:31:08 ,23,99,0,
  21:31:07 ,23,97,0,
  21:31:07 ,31,89,0,
  21:31:07 ,27,94,0,
  21:31:07 ,28,92,0,
  21:31:07 ,25,94,0,
  21:31:06 ,26,96,0,
  21:31:06 ,23,97,0,
  21:31:06 ,27,95,0,
  21:31:06 ,25,97,0,
  21:31:06 ,22,100,0,
  21:31:05 ,20,100,0,
  21:31:05 ,24,98,0,
  21:31:05 ,28,95,0,
  21:31:05 ,24,96,0,
  21:31:05 ,25,97,0,
  21:31:04 ,23,99,0,
  21:31:04 ,23,99,0,
  21:31:04 ,23,99,0,
  21:31:04 ,23,98,0,
  21:31:04 ,26,95,0,
  21:31:03 ,26,97,0,
  21:31:03 ,24,98,0,
  21:31:03 ,25,95,0,
  21:31:03 ,26,95,0,
  21:31:03 ,25,96,0,
  21:31:02 ,24,97,0,
  21:31:02 ,24,97,0,
  21:31:02 ,25,97,0,
  21:31:02 ,25,96,0,
  21:31:02 ,26,97,0,
  21:31:01 ,23,99,0,
  21:31:01 ,26,97,0,
  21:31:01 ,24,98,0,
  21:31:01 ,22,100,0,
  21:31:01 ,23,99,0,
  21:31:00 ,25,97,0,
  21:31:00 ,29,94,0,
  21:31:00 ,27,94,0,
  21:31:00 ,27,93,0,
  21:31:00 ,26,97,0,
  21:30:59 ,26,96,0,
  21:30:59 ,25,96,0,
  21:30:59 ,24,99,0,
  21:30:59 ,26,96,0,
  21:30:59 ,24,98,0,
  21:30:58 ,26,96,0,
  21:30:58 ,28,95,0,
  21:30:58 ,23,97,0,
  21:30:58 ,27,95,0,
  21:30:58 ,24,99,0,
  21:30:57 ,26,95,0,
  21:30:57 ,25,95,0,
  21:30:57 ,26,97,0,
  21:30:57 ,25,97,0,
  21:30:57 ,23,99,0,
  21:30:56 ,24,100,0,
  21:30:56 ,24,98,0,
