时间,电压传感器值,电流传感器值,位移传感器值,
  21:27:39 ,66,0,0,
  21:27:39 ,66,0,0,
  21:27:39 ,66,0,0,
  21:27:39 ,66,0,0,
  21:27:39 ,66,0,0,
  21:27:38 ,66,0,0,
  21:27:38 ,66,0,0,
  21:27:38 ,66,0,0,
  21:27:38 ,66,0,0,
  21:27:38 ,66,0,0,
  21:27:37 ,66,0,0,
  21:27:37 ,66,0,0,
  21:27:37 ,66,0,0,
  21:27:37 ,66,0,0,
  21:27:37 ,66,0,0,
  21:27:36 ,66,0,0,
  21:27:36 ,66,0,0,
  21:27:36 ,66,0,0,
  21:27:36 ,66,0,0,
  21:27:36 ,66,0,0,
  21:27:35 ,66,0,0,
  21:27:35 ,66,0,0,
  21:27:35 ,66,0,0,
  21:27:35 ,66,0,0,
  21:27:35 ,66,0,0,
  21:27:34 ,66,0,0,
  21:27:34 ,65,6,0,
  21:27:34 ,32,88,0,
  21:27:34 ,25,94,0,
  21:27:34 ,25,95,0,
  21:27:33 ,22,97,0,
  21:27:33 ,22,98,0,
  21:27:33 ,20,98,0,
  21:27:33 ,25,95,0,
  21:27:33 ,22,97,0,
  21:27:32 ,21,99,0,
  21:27:32 ,21,98,0,
  21:27:32 ,21,97,0,
  21:27:32 ,23,94,0,
  21:27:32 ,21,97,0,
  21:27:31 ,23,97,0,
  21:27:31 ,21,97,0,
  21:27:31 ,23,96,0,
  21:27:31 ,25,95,0,
  21:27:31 ,23,98,0,
  21:27:30 ,20,98,0,
  21:27:30 ,21,97,0,
  21:27:30 ,25,94,0,
  21:27:30 ,26,93,0,
  21:27:30 ,22,97,0,
  21:27:29 ,26,92,0,
  21:27:29 ,29,90,0,
  21:27:29 ,25,94,0,
  21:27:29 ,26,93,0,
  21:27:29 ,22,96,0,
  21:27:28 ,25,93,0,
  21:27:28 ,26,95,0,
  21:27:28 ,22,97,0,
  21:27:28 ,23,96,0,
  21:27:28 ,21,98,0,
  21:27:27 ,22,97,0,
  21:27:27 ,22,98,0,
  21:27:27 ,22,97,0,
  21:27:27 ,23,95,0,
  21:27:27 ,21,97,0,
  21:27:26 ,25,93,0,
  21:27:26 ,24,94,0,
  21:27:26 ,25,95,0,
  21:27:26 ,25,94,0,
  21:27:26 ,22,96,0,
  21:27:25 ,23,97,0,
  21:27:25 ,24,96,0,
  21:27:25 ,24,95,0,
  21:27:25 ,25,95,0,
  21:27:25 ,25,94,0,
  21:27:24 ,21,98,0,
  21:27:24 ,24,94,0,
  21:27:24 ,23,97,0,
  21:27:24 ,25,94,0,
  21:27:24 ,24,95,0,
  21:27:23 ,27,91,0,
  21:27:23 ,28,92,0,
  21:27:23 ,25,96,0,
  21:27:23 ,20,100,0,
  21:27:23 ,19,99,0,
  21:27:22 ,23,95,0,
  21:27:22 ,27,91,0,
  21:27:22 ,27,92,0,
  21:27:22 ,27,91,0,
  21:27:22 ,28,93,0,
  21:27:21 ,24,95,0,
  21:27:21 ,26,94,0,
