时间,电压传感器值,电流传感器值,位移传感器值,
  20:41:11 ,65,0,0,
  20:41:11 ,65,0,0,
  20:41:10 ,65,0,0,
  20:41:10 ,65,0,0,
  20:41:10 ,65,0,0,
  20:41:10 ,65,0,0,
  20:41:10 ,65,0,0,
  20:41:09 ,65,0,0,
  20:41:09 ,65,0,0,
  20:41:09 ,65,0,0,
  20:41:09 ,65,0,0,
  20:41:09 ,65,0,0,
  20:41:08 ,65,0,0,
  20:41:08 ,65,0,0,
  20:41:08 ,65,0,0,
  20:41:08 ,65,0,0,
  20:41:08 ,65,0,0,
  20:41:07 ,65,0,0,
  20:41:07 ,65,0,0,
  20:41:07 ,65,0,0,
  20:41:07 ,65,0,0,
  20:41:07 ,65,0,0,
  20:41:06 ,65,6,0,
  20:41:06 ,31,87,0,
  20:41:06 ,24,93,0,
  20:41:06 ,24,95,0,
  20:41:06 ,22,95,0,
  20:41:05 ,24,94,0,
  20:41:05 ,21,95,0,
  20:41:05 ,24,94,0,
  20:41:05 ,20,95,0,
  20:41:05 ,24,93,0,
  20:41:04 ,26,92,0,
  20:41:04 ,21,96,0,
  20:41:04 ,22,94,0,
  20:41:04 ,22,95,0,
  20:41:04 ,21,96,0,
  20:41:03 ,22,95,0,
  20:41:03 ,24,92,0,
  20:41:03 ,20,97,0,
  20:41:03 ,25,94,0,
  20:41:03 ,23,94,0,
  20:41:02 ,25,92,0,
  20:41:02 ,24,94,0,
  20:41:02 ,22,95,0,
  20:41:02 ,23,96,0,
  20:41:02 ,22,95,0,
  20:41:01 ,20,97,0,
  20:41:01 ,19,98,0,
  20:41:01 ,21,97,0,
  20:41:01 ,24,95,0,
  20:41:01 ,20,98,0,
  20:41:00 ,21,97,0,
  20:41:00 ,24,93,0,
  20:41:00 ,24,94,0,
  20:41:00 ,21,95,0,
  20:41:00 ,24,95,0,
  20:40:59 ,21,97,0,
  20:40:59 ,23,94,0,
  20:40:59 ,25,94,0,
  20:40:59 ,21,97,0,
  20:40:59 ,23,95,0,
  20:40:58 ,23,95,0,
  20:40:58 ,21,97,0,
  20:40:58 ,21,97,0,
  20:40:58 ,20,97,0,
  20:40:58 ,20,96,0,
  20:40:57 ,21,95,0,
  20:40:57 ,24,92,0,
  20:40:57 ,28,90,0,
  20:40:57 ,25,90,0,
  20:40:57 ,25,92,0,
  20:40:56 ,24,92,0,
  20:40:56 ,21,96,0,
  20:40:56 ,22,96,0,
  20:40:56 ,22,95,0,
  20:40:56 ,23,95,0,
  20:40:55 ,22,96,0,
  20:40:55 ,24,94,0,
  20:40:55 ,26,92,0,
  20:40:55 ,28,89,0,
  20:40:55 ,24,94,0,
  20:40:54 ,20,97,0,
  20:40:54 ,28,90,0,
  20:40:54 ,26,92,0,
  20:40:54 ,27,92,0,
  20:40:54 ,20,97,0,
  20:40:53 ,22,96,0,
  20:40:53 ,21,97,0,
  20:40:53 ,22,95,0,
  20:40:53 ,25,95,0,
  20:40:53 ,23,96,0,
  20:40:52 ,24,94,0,
  20:40:52 ,27,92,0,
  20:40:52 ,28,90,0,
  20:40:52 ,30,90,0,
  20:40:52 ,23,95,0,
  20:40:51 ,24,92,0,
  20:40:51 ,29,92,0,
  20:40:51 ,23,95,0,
  20:40:51 ,25,92,0,
  20:40:51 ,23,96,0,
  20:40:50 ,24,93,0,
  20:40:50 ,25,91,0,
  20:40:50 ,31,85,0,
  20:40:50 ,66,0,0,
  20:40:50 ,65,16,0,
  20:40:49 ,28,50,0,
  20:40:49 ,66,0,0,
  20:40:49 ,65,12,0,
  20:40:49 ,47,14,0,
  20:40:49 ,62,0,0,
  20:40:48 ,65,0,0,
  20:40:48 ,65,0,0,
