时间,电压传感器值,电流传感器值,位移传感器值
  21:23:31 ,66,0,0
  21:23:31 ,66,0,0
  21:23:31 ,66,0,0
  21:23:31 ,66,0,0
  21:23:31 ,66,0,0
  21:23:30 ,66,0,0
  21:23:30 ,66,0,0
  21:23:30 ,66,0,0
  21:23:30 ,66,0,0
  21:23:30 ,66,0,0
  21:23:29 ,66,0,0
  21:23:29 ,66,0,0
  21:23:29 ,66,0,0
  21:23:29 ,66,0,0
  21:23:29 ,66,0,0
  21:23:28 ,66,0,0
  21:23:28 ,66,0,0
  21:23:28 ,66,0,0
  21:23:28 ,66,0,0
  21:23:28 ,66,0,0
  21:23:27 ,66,0,0
  21:23:27 ,66,0,0
  21:23:27 ,66,0,0
  21:23:27 ,66,0,0
  21:23:27 ,66,0,0
  21:23:26 ,66,0,0
  21:23:26 ,66,0,0
  21:23:26 ,66,0,0
  21:23:26 ,66,0,0
  21:23:26 ,66,0,0
  21:23:25 ,66,0,0
  21:23:25 ,65,11,0
  21:23:25 ,32,84,0
  21:23:25 ,33,85,0
  21:23:25 ,32,87,0
  21:23:24 ,29,89,0
  21:23:24 ,29,87,0
  21:23:24 ,32,85,0
  21:23:24 ,33,84,0
  21:23:24 ,30,87,0
  21:23:23 ,28,87,0
  21:23:23 ,34,82,0
  21:23:23 ,33,83,0
  21:23:23 ,34,84,0
  21:23:23 ,32,87,0
  21:23:22 ,28,91,0
  21:23:22 ,30,88,0
  21:23:22 ,32,86,0
  21:23:22 ,28,92,0
  21:23:22 ,28,93,0
  21:23:21 ,25,93,0
  21:23:21 ,26,94,0
  21:23:21 ,22,97,0
  21:23:21 ,22,97,0
  21:23:21 ,24,94,0
  21:23:20 ,26,95,0
  21:23:20 ,23,98,0
  21:23:20 ,20,99,0
  21:23:20 ,22,97,0
  21:23:20 ,21,98,0
  21:23:19 ,23,94,0
  21:23:19 ,26,94,0
  21:23:19 ,24,95,0
  21:23:19 ,24,94,0
  21:23:19 ,24,95,0
  21:23:18 ,23,97,0
  21:23:18 ,23,96,0
  21:23:18 ,20,99,0
  21:23:18 ,22,98,0
  21:23:18 ,23,97,0
  21:23:17 ,22,96,0
  21:23:17 ,22,97,0
  21:23:17 ,25,95,0
  21:23:17 ,22,98,0
  21:23:17 ,21,97,0
  21:23:16 ,25,93,0
  21:23:16 ,26,94,0
  21:23:16 ,27,92,0
  21:23:16 ,29,91,0
  21:23:16 ,22,96,0
  21:23:15 ,27,93,0
  21:23:15 ,23,97,0
  21:23:15 ,25,95,0
  21:23:15 ,25,94,0
  21:23:15 ,24,94,0
  21:23:14 ,26,94,0
  21:23:14 ,23,95,0
  21:23:14 ,25,94,0
  21:23:14 ,24,94,0
  21:23:14 ,28,92,0
  21:23:13 ,26,91,0
  21:23:13 ,31,89,0
  21:23:13 ,24,96,0
  21:23:13 ,28,91,0
  21:23:13 ,28,92,0
  21:23:12 ,27,91,0
  21:23:12 ,28,90,0
  21:23:12 ,28,90,0
  21:23:12 ,24,94,0
  21:23:12 ,26,95,0
  21:23:11 ,21,99,0
  21:23:11 ,23,94,0
  21:23:11 ,29,91,0
  21:23:11 ,24,94,0
  21:23:11 ,25,93,0
  21:23:10 ,28,92,0
  21:23:10 ,24,95,0
  21:23:10 ,23,96,0
  21:23:10 ,23,95,0
  21:23:10 ,27,92,0
  21:23:09 ,25,96,0
  21:23:09 ,21,97,0
  21:23:09 ,26,94,0
  21:23:09 ,24,95,0
  21:23:09 ,27,92,0
  21:23:08 ,25,94,0
  21:23:08 ,22,99,0
  21:23:08 ,23,98,0
  21:23:08 ,20,100,0
  21:23:08 ,20,100,0
  21:23:07 ,21,97,0
  21:23:07 ,22,96,0
  21:23:07 ,26,94,0
  21:23:07 ,24,97,0
  21:23:07 ,24,96,0
  21:23:06 ,25,95,0
  21:23:06 ,22,97,0
  21:23:06 ,25,93,0
  21:23:06 ,30,90,0
  21:23:06 ,25,93,0
  21:23:05 ,22,96,0
  21:23:05 ,22,96,0
  21:23:05 ,26,93,0
  21:23:05 ,27,92,0
  21:23:05 ,25,93,0
  21:23:04 ,25,94,0
  21:23:04 ,26,95,0
  21:23:04 ,22,98,0
  21:23:04 ,22,98,0
  21:23:04 ,23,95,0
  21:23:03 ,30,89,0
  21:23:03 ,26,92,0
  21:23:03 ,25,93,0
  21:23:03 ,23,95,0
