时间,电压传感器值,电流传感器值,位移传感器值
  21:53:00 ,65,0,0
  21:52:59 ,65,0,0
  21:52:59 ,65,0,0
  21:52:59 ,65,0,0
  21:52:59 ,65,0,0
  21:52:59 ,65,0,0
  21:52:58 ,65,0,0
  21:52:58 ,65,0,0
  21:52:58 ,65,0,0
  21:52:58 ,65,0,0
  21:52:58 ,65,0,0
  21:52:57 ,65,0,0
  21:52:57 ,65,0,0
  21:52:57 ,65,0,0
  21:52:57 ,65,0,0
  21:52:57 ,65,0,0
  21:52:56 ,65,0,0
  21:52:56 ,65,0,0
  21:52:56 ,65,0,0
  21:52:56 ,65,0,0
  21:52:56 ,65,0,0
  21:52:55 ,65,0,0
  21:52:55 ,65,0,0
  21:52:55 ,65,0,0
  21:52:55 ,65,0,0
  21:52:55 ,65,0,0
  21:52:54 ,65,0,0
  21:52:54 ,65,0,0
  21:52:54 ,65,0,0
  21:52:54 ,65,0,0
  21:52:54 ,65,0,0
  21:52:53 ,65,0,0
  21:52:53 ,65,0,0
  21:52:53 ,65,0,0
  21:52:53 ,65,0,0
  21:52:53 ,65,0,0
  21:52:52 ,65,0,0
  21:52:52 ,65,5,0
  21:52:52 ,27,94,0
  21:52:52 ,27,96,0
  21:52:52 ,23,97,0
  21:52:51 ,27,94,0
  21:52:51 ,24,95,0
  21:52:51 ,27,96,0
  21:52:51 ,25,97,0
  21:52:51 ,26,94,0
  21:52:50 ,27,95,0
  21:52:50 ,25,97,0
  21:52:50 ,27,94,0
  21:52:50 ,28,94,0
  21:52:50 ,27,96,0
  21:52:49 ,25,97,0
  21:52:49 ,24,97,0
  21:52:49 ,24,98,0
  21:52:49 ,24,98,0
  21:52:49 ,26,96,0
  21:52:48 ,26,95,0
  21:52:48 ,33,87,0
  21:52:48 ,35,84,0
  21:52:48 ,39,75,0
  21:52:48 ,30,69,0
  21:52:47 ,65,0,0
  21:52:47 ,65,0,0
