时间,电压传感器值,电流传感器值,位移传感器值,
  22:10:12 ,65,0,0,
  22:10:11 ,65,0,0,
  22:10:11 ,65,0,0,
  22:10:11 ,65,0,0,
  22:10:11 ,65,0,0,
  22:10:11 ,65,0,0,
  22:10:10 ,65,0,0,
  22:10:10 ,65,0,0,
  22:10:10 ,65,0,0,
  22:10:10 ,65,0,0,
  22:10:10 ,65,0,0,
  22:10:09 ,65,0,0,
  22:10:09 ,65,0,0,
  22:10:09 ,65,0,0,
  22:10:09 ,65,0,0,
  22:10:09 ,65,0,0,
  22:10:08 ,65,0,0,
  22:10:08 ,65,0,0,
  22:10:08 ,65,0,0,
  22:10:08 ,65,0,0,
  22:10:08 ,65,0,0,
  22:10:07 ,65,0,0,
  22:10:07 ,65,0,0,
  22:10:07 ,65,0,0,
  22:10:07 ,65,0,0,
  22:10:07 ,65,0,0,
  22:10:06 ,65,1,0,
  22:10:06 ,57,40,0,
  22:10:06 ,31,84,0,
  22:10:06 ,31,86,0,
  22:10:06 ,29,89,0,
  22:10:05 ,26,90,0,
  22:10:05 ,22,94,0,
  22:10:05 ,26,91,0,
  22:10:05 ,23,93,0,
  22:10:05 ,24,92,0,
  22:10:04 ,23,94,0,
  22:10:04 ,21,95,0,
  22:10:04 ,23,92,0,
  22:10:04 ,25,91,0,
  22:10:04 ,27,89,0,
  22:10:03 ,28,89,0,
  22:10:03 ,28,87,0,
  22:10:03 ,37,73,0,
  22:10:03 ,28,86,0,
  22:10:03 ,33,82,0,
  22:10:02 ,31,83,0,
  22:10:02 ,32,83,0,
  22:10:02 ,29,87,0,
  22:10:02 ,30,87,0,
  22:10:02 ,31,84,0,
  22:10:01 ,29,86,0,
  22:10:01 ,30,87,0,
  22:10:01 ,29,87,0,
  22:10:01 ,26,91,0,
  22:10:01 ,26,90,0,
  22:10:00 ,25,90,0,
  22:10:00 ,27,88,0,
  22:10:00 ,31,87,0,
  22:10:00 ,25,91,0,
  22:10:00 ,31,85,0,
  22:09:59 ,28,88,0,
  22:09:59 ,27,88,0,
  22:09:59 ,27,89,0,
  22:09:59 ,27,89,0,
  22:09:59 ,23,91,0,
  22:09:58 ,31,89,0,
  22:09:58 ,21,95,0,
  22:09:58 ,25,94,0,
  22:09:58 ,22,93,0,
  22:09:58 ,24,94,0,
  22:09:57 ,26,89,0,
  22:09:57 ,26,92,0,
  22:09:57 ,28,89,0,
  22:09:57 ,30,88,0,
  22:09:57 ,27,89,0,
  22:09:56 ,23,93,0,
  22:09:56 ,21,96,0,
  22:09:56 ,26,91,0,
  22:09:56 ,25,94,0,
  22:09:56 ,25,93,0,
  22:09:55 ,24,92,0,
  22:09:55 ,22,96,0,
  22:09:55 ,24,93,0,
  22:09:55 ,27,91,0,
  22:09:55 ,24,94,0,
  22:09:54 ,25,92,0,
  22:09:54 ,25,93,0,
  22:09:54 ,25,92,0,
  22:09:54 ,22,95,0,
  22:09:54 ,26,92,0,
  22:09:53 ,25,92,0,
  22:09:53 ,26,93,0,
  22:09:53 ,22,94,0,
  22:09:53 ,24,94,0,
  22:09:53 ,22,95,0,
  22:09:52 ,25,91,0,
  22:09:52 ,28,91,0,
  22:09:52 ,24,92,0,
  22:09:52 ,26,90,0,
  22:09:52 ,25,92,0,
  22:09:51 ,29,90,0,
  22:09:51 ,22,95,0,
  22:09:51 ,25,93,0,
  22:09:51 ,25,93,0,
  22:09:51 ,21,97,0,
  22:09:50 ,22,96,0,
  22:09:50 ,24,93,0,
  22:09:50 ,24,93,0,
  22:09:50 ,25,92,0,
  22:09:50 ,24,92,0,
  22:09:49 ,26,92,0,
  22:09:49 ,23,94,0,
  22:09:49 ,23,94,0,
  22:09:49 ,23,95,0,
  22:09:49 ,22,95,0,
  22:09:48 ,24,92,0,
  22:09:48 ,25,92,0,
  22:09:48 ,25,92,0,
  22:09:48 ,25,92,0,
  22:09:48 ,23,96,0,
  22:09:47 ,23,93,0,
  22:09:47 ,25,93,0,
  22:09:47 ,26,93,0,
  22:09:47 ,21,96,0,
  22:09:47 ,25,94,0,
  22:09:46 ,25,94,0,
  22:09:46 ,24,95,0,
  22:09:46 ,24,94,0,
  22:09:46 ,27,91,0,
  22:09:46 ,27,92,0,
  22:09:45 ,21,96,0,
  22:09:45 ,25,93,0,
  22:09:45 ,24,95,0,
  22:09:45 ,21,96,0,
  22:09:45 ,26,92,0,
  22:09:44 ,23,95,0,
  22:09:44 ,24,94,0,
  22:09:44 ,24,93,0,
  22:09:44 ,25,94,0,
  22:09:44 ,25,94,0,
  22:09:43 ,21,95,0,
  22:09:43 ,26,92,0,
  22:09:43 ,26,94,0,
  22:09:43 ,24,94,0,
  22:09:43 ,24,94,0,
  22:09:42 ,21,97,0,
  22:09:42 ,25,94,0,
  22:09:42 ,23,96,0,
  22:09:42 ,22,96,0,
  22:09:42 ,22,96,0,
  22:09:41 ,26,94,0,
  22:09:41 ,22,94,0,
  22:09:41 ,24,95,0,
  22:09:41 ,25,93,0,
  22:09:41 ,27,91,0,
  22:09:40 ,27,92,0,
  22:09:40 ,25,96,0,
  22:09:40 ,22,95,0,
  22:09:40 ,24,96,0,
  22:09:40 ,26,94,0,
  22:09:39 ,23,95,0,
  22:09:39 ,23,98,0,
  22:09:39 ,24,95,0,
  22:09:39 ,25,94,0,
  22:09:39 ,28,91,0,
  22:09:38 ,23,96,0,
  22:09:38 ,24,96,0,
  22:09:38 ,24,95,0,
  22:09:38 ,25,94,0,
  22:09:38 ,24,95,0,
  22:09:37 ,23,97,0,
  22:09:37 ,25,94,0,
  22:09:37 ,28,93,0,
  22:09:37 ,26,94,0,
  22:09:37 ,24,95,0,
  22:09:36 ,24,97,0,
  22:09:36 ,24,95,0,
  22:09:36 ,25,95,0,
  22:09:36 ,26,95,0,
  22:09:36 ,25,95,0,
  22:09:35 ,24,96,0,
  22:09:35 ,27,94,0,
  22:09:35 ,27,92,0,
  22:09:35 ,30,92,0,
  22:09:35 ,24,96,0,
  22:09:34 ,27,95,0,
  22:09:34 ,26,96,0,
  22:09:34 ,21,98,0,
  22:09:34 ,35,84,0,
  22:09:34 ,36,78,0,
  22:09:33 ,37,80,0,
  22:09:33 ,66,0,0,
  22:09:33 ,66,0,0,
  22:09:33 ,66,0,0,
  22:09:33 ,66,0,0,
  22:09:32 ,66,0,0,
  22:09:32 ,66,0,0,
  22:09:32 ,66,0,0,
  22:09:32 ,66,0,0,
  22:09:32 ,66,0,0,
  22:09:31 ,66,0,0,
  22:09:31 ,66,0,0,
  22:09:31 ,66,0,0,
  22:09:31 ,66,0,0,
  22:09:31 ,66,0,0,
  22:09:30 ,66,0,0,
  22:09:30 ,66,0,0,
  22:09:30 ,66,0,0,
  22:09:30 ,66,0,0,
  22:09:30 ,66,0,0,
  22:09:29 ,66,0,0,
  22:09:29 ,66,0,0,
  22:09:29 ,66,0,0,
  22:09:29 ,66,0,0,
  22:09:29 ,66,0,0,
  22:09:28 ,66,0,0,
  22:09:28 ,66,0,0,
  22:09:28 ,66,0,0,
  22:09:28 ,66,0,0,
  22:09:28 ,66,0,0,
  22:09:27 ,66,0,0,
  22:09:27 ,66,0,0,
  22:09:27 ,66,0,0,
  22:09:27 ,66,0,0,
  22:09:27 ,66,0,0,
  22:09:26 ,66,0,0,
  22:09:26 ,66,0,0,
  22:09:26 ,66,0,0,
  22:09:26 ,66,0,0,
  22:09:26 ,66,0,0,
  22:09:25 ,66,0,0,
  22:09:25 ,66,0,0,
  22:09:25 ,66,0,0,
  22:09:25 ,66,0,0,
  22:09:25 ,66,0,0,
  22:09:24 ,66,0,0,
  22:09:24 ,66,0,0,
  22:09:24 ,66,0,0,
  22:09:24 ,66,0,0,
  22:09:24 ,66,0,0,
  22:09:23 ,66,0,0,
  22:09:23 ,66,0,0,
  22:09:23 ,66,0,0,
  22:09:23 ,66,0,0,
  22:09:23 ,66,0,0,
  22:09:22 ,66,0,0,
  22:09:22 ,66,0,0,
  22:09:22 ,66,0,0,
  22:09:22 ,66,0,0,
  22:09:22 ,66,0,0,
  22:09:21 ,66,0,0,
  22:09:21 ,66,0,0,
  22:09:21 ,66,0,0,
  22:09:21 ,66,0,0,
  22:09:21 ,66,0,0,
  22:09:20 ,66,0,0,
  22:09:20 ,66,0,0,
  22:09:20 ,66,0,0,
  22:09:20 ,66,0,0,
  22:09:20 ,66,0,0,
  22:09:19 ,66,0,0,
  22:09:19 ,66,0,0,
  22:09:19 ,66,0,0,
  22:09:19 ,66,0,0,
  22:09:19 ,66,0,0,
  22:09:18 ,66,0,0,
  22:09:18 ,66,0,0,
  22:09:18 ,66,0,0,
  22:09:18 ,66,0,0,
  22:09:18 ,66,0,0,
  22:09:17 ,66,0,0,
  22:09:17 ,66,0,0,
  22:09:17 ,66,0,0,
  22:09:17 ,66,0,0,
  22:09:17 ,66,0,0,
  22:09:16 ,66,0,0,
  22:09:16 ,66,0,0,
  22:09:16 ,66,0,0,
  22:09:16 ,66,0,0,
  22:09:16 ,66,0,0,
  22:09:15 ,66,0,0,
  22:09:15 ,66,0,0,
