时间,电压传感器值,电流传感器值,位移传感器值,
  22:01:33 ,66,0,0,
  22:01:33 ,66,0,0,
  22:01:33 ,66,0,0,
  22:01:33 ,66,0,0,
  22:01:32 ,66,0,0,
  22:01:32 ,66,0,0,
  22:01:32 ,66,0,0,
  22:01:32 ,66,0,0,
  22:01:32 ,65,0,0,
  22:01:31 ,65,0,0,
  22:01:31 ,65,0,0,
  22:01:31 ,65,0,0,
  22:01:31 ,65,0,0,
  22:01:31 ,65,0,0,
  22:01:30 ,65,0,0,
  22:01:30 ,65,0,0,
  22:01:30 ,65,0,0,
  22:01:30 ,65,0,0,
  22:01:30 ,65,0,0,
  22:01:29 ,65,0,0,
  22:01:29 ,65,0,0,
  22:01:29 ,65,0,0,
  22:01:29 ,65,0,0,
  22:01:29 ,65,0,0,
  22:01:28 ,65,0,0,
  22:01:28 ,65,0,0,
  22:01:28 ,65,0,0,
  22:01:28 ,65,0,0,
  22:01:28 ,65,0,0,
  22:01:27 ,65,0,0,
  22:01:27 ,65,0,0,
  22:01:27 ,65,0,0,
  22:01:27 ,65,0,0,
  22:01:27 ,65,0,0,
  22:01:26 ,65,2,0,
  22:01:26 ,52,49,0,
  22:01:26 ,33,84,0,
  22:01:26 ,31,87,0,
  22:01:26 ,32,89,0,
  22:01:25 ,23,94,0,
  22:01:25 ,23,96,0,
  22:01:25 ,22,88,0,
  22:01:25 ,36,78,0,
  22:01:25 ,60,8,0,
  22:01:24 ,50,54,0,
  22:01:24 ,48,20,0,
  22:01:24 ,40,58,0,
  22:01:24 ,33,85,0,
  22:01:24 ,35,80,0,
  22:01:23 ,30,88,0,
  22:01:23 ,28,91,0,
  22:01:23 ,25,93,0,
  22:01:23 ,27,92,0,
  22:01:23 ,25,91,0,
  22:01:22 ,27,92,0,
  22:01:22 ,24,93,0,
  22:01:22 ,27,92,0,
  22:01:22 ,26,93,0,
  22:01:22 ,24,94,0,
  22:01:21 ,35,85,0,
  22:01:21 ,27,91,0,
  22:01:21 ,27,89,0,
  22:01:21 ,30,88,0,
  22:01:21 ,27,93,0,
  22:01:20 ,24,95,0,
  22:01:20 ,24,94,0,
  22:01:20 ,26,92,0,
  22:01:20 ,24,95,0,
  22:01:20 ,26,95,0,
  22:01:19 ,21,98,0,
  22:01:19 ,24,94,0,
  22:01:19 ,18,100,0,
  22:01:19 ,21,97,0,
  22:01:19 ,24,94,0,
  22:01:18 ,27,91,0,
  22:01:18 ,27,91,0,
  22:01:18 ,26,93,0,
  22:01:18 ,24,95,0,
  22:01:18 ,22,95,0,
  22:01:17 ,25,94,0,
  22:01:17 ,22,98,0,
  22:01:17 ,25,95,0,
  22:01:17 ,24,96,0,
  22:01:17 ,27,92,0,
  22:01:16 ,25,94,0,
  22:01:16 ,22,96,0,
  22:01:16 ,23,96,0,
  22:01:16 ,25,95,0,
  22:01:16 ,24,94,0,
  22:01:15 ,23,95,0,
  22:01:15 ,26,94,0,
  22:01:15 ,26,92,0,
  22:01:15 ,26,92,0,
  22:01:15 ,27,91,0,
  22:01:14 ,27,93,0,
  22:01:14 ,26,93,0,
  22:01:14 ,24,95,0,
  22:01:14 ,24,95,0,
  22:01:14 ,25,94,0,
  22:01:13 ,27,93,0,
  22:01:13 ,25,94,0,
  22:01:13 ,25,92,0,
  22:01:13 ,31,87,0,
  22:01:13 ,30,88,0,
  22:01:12 ,29,90,0,
  22:01:12 ,26,92,0,
  22:01:12 ,26,94,0,
  22:01:12 ,23,97,0,
  22:01:12 ,24,96,0,
  22:01:11 ,27,94,0,
  22:01:11 ,23,98,0,
  22:01:11 ,24,96,0,
  22:01:11 ,22,98,0,
  22:01:11 ,25,95,0,
  22:01:10 ,23,97,0,
  22:01:10 ,24,94,0,
  22:01:10 ,25,97,0,
  22:01:10 ,26,93,0,
  22:01:10 ,30,90,0,
  22:01:09 ,29,90,0,
  22:01:09 ,29,91,0,
  22:01:09 ,31,90,0,
  22:01:09 ,27,93,0,
  22:01:09 ,22,98,0,
  22:01:08 ,23,98,0,
  22:01:08 ,22,97,0,
  22:01:08 ,31,86,0,
  22:01:08 ,33,86,0,
  22:01:08 ,32,88,0,
  22:01:07 ,30,90,0,
  22:01:07 ,35,83,0,
  22:01:07 ,34,82,0,
  22:01:07 ,34,87,0,
  22:01:07 ,32,88,0,
  22:01:06 ,34,83,0,
  22:01:06 ,37,78,0,
  22:01:06 ,30,92,0,
  22:01:06 ,28,93,0,
  22:01:06 ,26,98,0,
  22:01:05 ,29,87,0,
  22:01:05 ,33,84,0,
  22:01:05 ,32,74,0,
  22:01:05 ,66,0,0,
  22:01:05 ,66,3,0,
  22:01:04 ,33,73,0,
  22:01:04 ,66,0,0,
  22:01:04 ,65,0,0,
  22:01:04 ,64,0,0,
  22:01:04 ,65,0,0,
  22:01:03 ,66,0,0,
  22:01:03 ,66,0,0,
  22:01:03 ,65,0,0,
