时间,电压传感器值,电流传感器值,位移传感器值,
  22:27:27 ,67,0,0,
  22:27:27 ,67,0,0,
  22:27:27 ,67,0,0,
  22:27:26 ,66,0,0,
  22:27:26 ,66,0,0,
  22:27:26 ,66,0,0,
  22:27:26 ,66,0,0,
  22:27:26 ,66,0,0,
  22:27:25 ,66,0,0,
  22:27:25 ,66,0,0,
  22:27:25 ,66,0,0,
  22:27:25 ,66,0,0,
  22:27:25 ,66,0,0,
  22:27:24 ,66,0,0,
  22:27:24 ,66,0,0,
  22:27:24 ,66,0,0,
  22:27:24 ,66,0,0,
  22:27:24 ,66,0,0,
  22:27:23 ,66,0,0,
  22:27:23 ,66,0,0,
  22:27:23 ,66,0,0,
  22:27:23 ,66,0,0,
  22:27:23 ,66,0,0,
  22:27:22 ,66,0,0,
  22:27:22 ,66,0,0,
  22:27:22 ,66,0,0,
  22:27:22 ,66,0,0,
  22:27:22 ,66,0,0,
  22:27:21 ,66,0,0,
  22:27:21 ,66,0,0,
  22:27:21 ,66,0,0,
  22:27:21 ,66,0,0,
  22:27:21 ,66,0,0,
  22:27:20 ,66,0,0,
  22:27:20 ,66,0,0,
  22:27:20 ,65,8,0,
  22:27:20 ,34,87,0,
  22:27:20 ,20,96,0,
  22:27:19 ,21,97,0,
  22:27:19 ,22,96,0,
  22:27:19 ,20,96,0,
  22:27:19 ,25,92,0,
  22:27:19 ,25,93,0,
  22:27:18 ,22,95,0,
  22:27:18 ,27,91,0,
  22:27:18 ,23,96,0,
  22:27:18 ,21,96,0,
  22:27:18 ,27,91,0,
  22:27:17 ,25,93,0,
  22:27:17 ,22,96,0,
  22:27:17 ,24,96,0,
  22:27:17 ,20,98,0,
  22:27:17 ,25,92,0,
  22:27:16 ,27,90,0,
  22:27:16 ,30,87,0,
  22:27:16 ,28,88,0,
  22:27:16 ,29,88,0,
  22:27:16 ,25,91,0,
  22:27:15 ,24,92,0,
  22:27:15 ,24,93,0,
  22:27:15 ,23,95,0,
  22:27:15 ,24,94,0,
  22:27:15 ,23,94,0,
  22:27:14 ,23,95,0,
  22:27:14 ,23,95,0,
  22:27:14 ,20,95,0,
  22:27:14 ,24,95,0,
  22:27:14 ,24,94,0,
  22:27:13 ,26,94,0,
  22:27:13 ,23,96,0,
  22:27:13 ,23,93,0,
  22:27:13 ,26,92,0,
  22:27:13 ,23,96,0,
  22:27:12 ,22,94,0,
  22:27:12 ,26,93,0,
  22:27:12 ,26,92,0,
  22:27:12 ,23,96,0,
  22:27:12 ,23,96,0,
  22:27:11 ,26,95,0,
  22:27:11 ,22,95,0,
  22:27:11 ,22,97,0,
  22:27:11 ,24,95,0,
  22:27:11 ,26,93,0,
  22:27:10 ,24,94,0,
  22:27:10 ,24,95,0,
  22:27:10 ,21,95,0,
  22:27:10 ,20,98,0,
  22:27:10 ,22,96,0,
  22:27:09 ,22,96,0,
  22:27:09 ,23,95,0,
  22:27:09 ,23,95,0,
  22:27:09 ,21,97,0,
  22:27:09 ,22,95,0,
  22:27:08 ,27,93,0,
  22:27:08 ,23,95,0,
  22:27:08 ,26,94,0,
  22:27:08 ,23,97,0,
  22:27:08 ,23,95,0,
  22:27:07 ,20,97,0,
  22:27:07 ,25,94,0,
  22:27:07 ,23,96,0,
  22:27:07 ,19,98,0,
  22:27:07 ,22,95,0,
  22:27:06 ,24,95,0,
  22:27:06 ,21,97,0,
  22:27:06 ,26,95,0,
  22:27:06 ,22,94,0,
  22:27:06 ,23,95,0,
  22:27:05 ,25,94,0,
  22:27:05 ,21,96,0,
  22:27:05 ,23,95,0,
  22:27:05 ,25,92,0,
  22:27:05 ,28,90,0,
  22:27:04 ,22,95,0,
  22:27:04 ,22,95,0,
  22:27:04 ,27,91,0,
  22:27:04 ,25,95,0,
  22:27:04 ,22,95,0,
  22:27:03 ,23,94,0,
  22:27:03 ,23,95,0,
  22:27:03 ,23,96,0,
  22:27:03 ,25,95,0,
  22:27:03 ,25,94,0,
  22:27:02 ,24,95,0,
  22:27:02 ,23,97,0,
  22:27:02 ,22,95,0,
  22:27:02 ,20,98,0,
  22:27:02 ,20,98,0,
  22:27:01 ,23,95,0,
  22:27:01 ,20,98,0,
  22:27:01 ,22,96,0,
  22:27:01 ,22,97,0,
  22:27:01 ,22,97,0,
  22:27:00 ,21,98,0,
  22:27:00 ,23,96,0,
  22:27:00 ,25,96,0,
  22:27:00 ,21,97,0,
  22:27:00 ,20,98,0,
  22:26:59 ,24,96,0,
  22:26:59 ,23,95,0,
  22:26:59 ,23,96,0,
  22:26:59 ,23,96,0,
  22:26:59 ,24,94,0,
  22:26:58 ,23,95,0,
  22:26:58 ,21,97,0,
  22:26:58 ,22,96,0,
  22:26:58 ,21,97,0,
  22:26:58 ,26,93,0,
  22:26:57 ,25,94,0,
  22:26:57 ,23,97,0,
  22:26:57 ,20,96,0,
  22:26:57 ,22,96,0,
  22:26:57 ,21,96,0,
  22:26:56 ,22,97,0,
  22:26:56 ,23,96,0,
  22:26:56 ,21,97,0,
  22:26:56 ,25,94,0,
  22:26:56 ,20,97,0,
  22:26:55 ,21,98,0,
  22:26:55 ,22,95,0,
  22:26:55 ,22,96,0,
  22:26:55 ,21,98,0,
  22:26:55 ,24,96,0,
  22:26:54 ,19,100,0,
  22:26:54 ,20,98,0,
  22:26:54 ,21,98,0,
  22:26:54 ,25,96,0,
  22:26:54 ,21,98,0,
  22:26:53 ,24,96,0,
  22:26:53 ,22,97,0,
  22:26:53 ,23,97,0,
  22:26:53 ,21,98,0,
  22:26:53 ,23,96,0,
  22:26:52 ,22,98,0,
  22:26:52 ,21,99,0,
  22:26:52 ,23,97,0,
  22:26:52 ,23,96,0,
  22:26:52 ,23,97,0,
  22:26:51 ,21,98,0,
  22:26:51 ,24,97,0,
  22:26:51 ,20,98,0,
  22:26:51 ,25,95,0,
  22:26:51 ,24,96,0,
  22:26:50 ,22,98,0,
  22:26:50 ,20,100,0,
  22:26:50 ,20,98,0,
  22:26:50 ,25,96,0,
  22:26:50 ,26,94,0,
  22:26:49 ,20,99,0,
  22:26:49 ,21,97,0,
  22:26:49 ,22,98,0,
  22:26:49 ,23,98,0,
  22:26:49 ,23,94,0,
  22:26:48 ,22,97,0,
  22:26:48 ,22,98,0,
  22:26:48 ,20,98,0,
  22:26:48 ,20,98,0,
  22:26:48 ,26,95,0,
  22:26:47 ,24,96,0,
  22:26:47 ,23,98,0,
  22:26:47 ,22,96,0,
  22:26:47 ,23,98,0,
  22:26:47 ,23,97,0,
  22:26:46 ,24,96,0,
  22:26:46 ,24,96,0,
  22:26:46 ,23,98,0,
  22:26:46 ,23,97,0,
  22:26:46 ,22,98,0,
  22:26:45 ,25,96,0,
  22:26:45 ,25,97,0,
  22:26:45 ,22,98,0,
  22:26:45 ,24,97,0,
  22:26:45 ,22,98,0,
