时间,电压传感器值,电流传感器值,位移传感器值,
  22:13:06 ,66,0,0,
  22:13:06 ,66,0,0,
  22:13:06 ,66,0,0,
  22:13:05 ,66,0,0,
  22:13:05 ,66,0,0,
  22:13:05 ,66,0,0,
  22:13:05 ,66,0,0,
  22:13:05 ,66,0,0,
  22:13:04 ,66,0,0,
  22:13:04 ,66,0,0,
  22:13:04 ,66,0,0,
  22:13:04 ,66,0,0,
  22:13:04 ,66,0,0,
  22:13:03 ,66,0,0,
  22:13:03 ,66,0,0,
  22:13:03 ,66,0,0,
  22:13:03 ,66,0,0,
  22:13:03 ,66,0,0,
  22:13:02 ,66,0,0,
  22:13:02 ,66,0,0,
  22:13:02 ,66,0,0,
  22:13:02 ,66,0,0,
  22:13:02 ,65,0,0,
  22:13:01 ,65,0,0,
  22:13:01 ,66,0,0,
  22:13:01 ,65,0,0,
  22:13:01 ,65,0,0,
  22:13:01 ,65,0,0,
  22:13:00 ,65,0,0,
  22:13:00 ,65,13,0,
  22:13:00 ,27,88,0,
  22:13:00 ,28,92,0,
  22:13:00 ,22,95,0,
  22:12:59 ,23,94,0,
  22:12:59 ,25,93,0,
  22:12:59 ,24,93,0,
  22:12:59 ,23,94,0,
  22:12:59 ,24,93,0,
  22:12:58 ,23,94,0,
  22:12:58 ,23,95,0,
  22:12:58 ,20,98,0,
  22:12:58 ,21,96,0,
  22:12:58 ,21,96,0,
  22:12:57 ,23,95,0,
  22:12:57 ,24,94,0,
  22:12:57 ,23,95,0,
  22:12:57 ,22,94,0,
  22:12:57 ,24,94,0,
  22:12:56 ,23,93,0,
  22:12:56 ,24,94,0,
  22:12:56 ,23,94,0,
  22:12:56 ,23,95,0,
  22:12:56 ,24,94,0,
  22:12:55 ,22,96,0,
  22:12:55 ,22,95,0,
  22:12:55 ,22,96,0,
  22:12:55 ,23,94,0,
  22:12:55 ,22,95,0,
  22:12:54 ,23,95,0,
  22:12:54 ,24,94,0,
  22:12:54 ,23,95,0,
  22:12:54 ,24,93,0,
  22:12:54 ,21,96,0,
  22:12:53 ,20,97,0,
  22:12:53 ,22,95,0,
  22:12:53 ,25,93,0,
  22:12:53 ,24,95,0,
  22:12:53 ,22,95,0,
  22:12:52 ,24,95,0,
  22:12:52 ,23,94,0,
  22:12:52 ,22,96,0,
  22:12:52 ,21,97,0,
  22:12:52 ,22,96,0,
  22:12:51 ,24,93,0,
  22:12:51 ,24,94,0,
  22:12:51 ,24,94,0,
  22:12:51 ,22,96,0,
  22:12:51 ,23,95,0,
  22:12:50 ,24,93,0,
  22:12:50 ,22,95,0,
  22:12:50 ,22,95,0,
  22:12:50 ,25,93,0,
  22:12:50 ,23,95,0,
  22:12:49 ,23,95,0,
  22:12:49 ,22,95,0,
  22:12:49 ,24,95,0,
  22:12:49 ,20,96,0,
  22:12:49 ,23,94,0,
  22:12:48 ,25,93,0,
  22:12:48 ,25,93,0,
  22:12:48 ,24,93,0,
  22:12:48 ,21,96,0,
  22:12:48 ,22,97,0,
  22:12:47 ,21,95,0,
  22:12:47 ,24,94,0,
  22:12:47 ,20,97,0,
  22:12:47 ,20,97,0,
  22:12:47 ,22,94,0,
  22:12:46 ,25,92,0,
  22:12:46 ,25,94,0,
  22:12:46 ,22,96,0,
  22:12:46 ,24,95,0,
  22:12:46 ,22,94,0,
  22:12:45 ,23,95,0,
  22:12:45 ,25,93,0,
  22:12:45 ,24,93,0,
  22:12:45 ,24,94,0,
  22:12:45 ,21,97,0,
  22:12:44 ,23,94,0,
  22:12:44 ,24,95,0,
  22:12:44 ,25,94,0,
  22:12:44 ,24,93,0,
  22:12:44 ,20,97,0,
  22:12:43 ,23,95,0,
  22:12:43 ,25,95,0,
  22:12:43 ,24,94,0,
  22:12:43 ,24,96,0,
