时间,电压传感器值,电流传感器值,位移传感器值,
  21:54:33 ,66,0,0,
  21:54:33 ,66,0,0,
  21:54:32 ,66,0,0,
  21:54:32 ,66,0,0,
  21:54:32 ,66,0,0,
  21:54:32 ,66,0,0,
  21:54:32 ,66,0,0,
  21:54:31 ,66,0,0,
  21:54:31 ,66,0,0,
  21:54:31 ,66,0,0,
  21:54:31 ,66,0,0,
  21:54:31 ,66,0,0,
  21:54:30 ,66,0,0,
  21:54:30 ,66,0,0,
  21:54:30 ,66,0,0,
  21:54:30 ,66,0,0,
  21:54:30 ,66,0,0,
  21:54:29 ,66,0,0,
  21:54:29 ,66,0,0,
  21:54:29 ,66,0,0,
  21:54:29 ,66,0,0,
  21:54:29 ,66,0,0,
  21:54:28 ,66,0,0,
  21:54:28 ,66,0,0,
  21:54:28 ,66,0,0,
  21:54:28 ,66,0,0,
  21:54:28 ,65,0,0,
  21:54:27 ,66,0,0,
  21:54:27 ,66,0,0,
  21:54:27 ,65,0,0,
  21:54:27 ,65,0,0,
  21:54:27 ,65,1,0,
  21:54:26 ,60,38,0,
  21:54:26 ,25,95,0,
  21:54:26 ,26,93,0,
  21:54:26 ,25,94,0,
  21:54:26 ,26,94,0,
  21:54:25 ,24,95,0,
  21:54:25 ,25,96,0,
  21:54:25 ,23,97,0,
  21:54:25 ,26,95,0,
  21:54:25 ,25,95,0,
  21:54:24 ,25,96,0,
  21:54:24 ,23,95,0,
  21:54:24 ,22,97,0,
  21:54:24 ,25,94,0,
  21:54:24 ,29,90,0,
  21:54:23 ,24,96,0,
  21:54:23 ,26,94,0,
  21:54:23 ,25,94,0,
  21:54:23 ,23,95,0,
  21:54:23 ,26,93,0,
  21:54:22 ,26,95,0,
  21:54:22 ,23,96,0,
  21:54:22 ,26,94,0,
  21:54:22 ,26,95,0,
  21:54:22 ,25,94,0,
  21:54:21 ,28,90,0,
  21:54:21 ,27,92,0,
  21:54:21 ,25,93,0,
  21:54:21 ,29,92,0,
  21:54:21 ,28,92,0,
  21:54:20 ,27,91,0,
  21:54:20 ,24,95,0,
  21:54:20 ,25,94,0,
  21:54:20 ,26,94,0,
  21:54:20 ,26,93,0,
  21:54:19 ,24,96,0,
  21:54:19 ,26,93,0,
  21:54:19 ,26,94,0,
  21:54:19 ,27,92,0,
  21:54:19 ,26,95,0,
  21:54:18 ,23,96,0,
  21:54:18 ,23,98,0,
  21:54:18 ,22,96,0,
  21:54:18 ,25,94,0,
  21:54:18 ,25,96,0,
  21:54:17 ,25,96,0,
  21:54:17 ,26,93,0,
  21:54:17 ,25,96,0,
  21:54:17 ,24,94,0,
  21:54:17 ,24,95,0,
  21:54:16 ,28,93,0,
  21:54:16 ,24,95,0,
  21:54:16 ,27,93,0,
  21:54:16 ,25,96,0,
  21:54:16 ,24,95,0,
  21:54:15 ,28,93,0,
  21:54:15 ,26,95,0,
  21:54:15 ,22,97,0,
  21:54:15 ,23,96,0,
  21:54:15 ,26,94,0,
  21:54:14 ,24,95,0,
  21:54:14 ,24,96,0,
  21:54:14 ,25,96,0,
  21:54:14 ,23,97,0,
  21:54:14 ,27,93,0,
  21:54:13 ,25,95,0,
  21:54:13 ,24,97,0,
  21:54:13 ,23,97,0,
  21:54:13 ,21,99,0,
  21:54:13 ,25,97,0,
  21:54:12 ,22,99,0,
  21:54:12 ,24,96,0,
  21:54:12 ,22,98,0,
  21:54:12 ,23,97,0,
  21:54:12 ,24,96,0,
  21:54:11 ,26,95,0,
  21:54:11 ,22,96,0,
  21:54:11 ,26,94,0,
  21:54:11 ,27,95,0,
  21:54:11 ,24,96,0,
  21:54:10 ,24,96,0,
  21:54:10 ,25,96,0,
  21:54:10 ,22,98,0,
  21:54:10 ,26,94,0,
  21:54:10 ,24,96,0,
  21:54:09 ,21,98,0,
  21:54:09 ,25,96,0,
  21:54:09 ,21,99,0,
  21:54:09 ,24,97,0,
  21:54:09 ,26,96,0,
  21:54:08 ,25,96,0,
  21:54:08 ,28,95,0,
