时间,电压传感器值,电流传感器值,位移传感器值,
  22:25:21 ,66,0,0,
  22:25:21 ,66,0,0,
  22:25:21 ,66,0,0,
  22:25:21 ,66,0,0,
  22:25:21 ,66,0,0,
  22:25:20 ,66,0,0,
  22:25:20 ,66,0,0,
  22:25:20 ,66,0,0,
  22:25:20 ,66,0,0,
  22:25:20 ,66,0,0,
  22:25:19 ,66,0,0,
  22:25:19 ,66,0,0,
  22:25:19 ,66,0,0,
  22:25:19 ,66,0,0,
  22:25:19 ,66,0,0,
  22:25:18 ,66,0,0,
  22:25:18 ,66,0,0,
  22:25:18 ,66,0,0,
  22:25:18 ,66,0,0,
  22:25:18 ,66,0,0,
  22:25:17 ,66,0,0,
  22:25:17 ,66,0,0,
  22:25:17 ,66,0,0,
  22:25:17 ,66,0,0,
  22:25:17 ,66,0,0,
  22:25:16 ,66,0,0,
  22:25:16 ,66,0,0,
  22:25:16 ,66,0,0,
  22:25:16 ,66,0,0,
  22:25:16 ,66,0,0,
  22:25:15 ,66,0,0,
  22:25:15 ,66,0,0,
  22:25:15 ,66,0,0,
  22:25:15 ,66,0,0,
  22:25:15 ,66,0,0,
  22:25:14 ,66,0,0,
  22:25:14 ,66,0,0,
  22:25:14 ,66,0,0,
  22:25:14 ,66,0,0,
  22:25:14 ,66,0,0,
  22:25:13 ,66,0,0,
  22:25:13 ,66,0,0,
  22:25:13 ,66,0,0,
  22:25:13 ,66,4,0,
  22:25:13 ,40,67,0,
  22:25:12 ,26,94,0,
  22:25:12 ,22,97,0,
  22:25:12 ,27,92,0,
  22:25:12 ,21,98,0,
  22:25:12 ,24,95,0,
  22:25:11 ,21,96,0,
  22:25:11 ,26,93,0,
  22:25:11 ,26,92,0,
  22:25:11 ,24,93,0,
  22:25:11 ,25,93,0,
  22:25:10 ,24,95,0,
  22:25:10 ,21,97,0,
  22:25:10 ,24,93,0,
  22:25:10 ,27,92,0,
  22:25:10 ,28,90,0,
  22:25:09 ,23,97,0,
  22:25:09 ,26,94,0,
  22:25:09 ,20,98,0,
  22:25:09 ,22,96,0,
  22:25:09 ,23,95,0,
  22:25:08 ,22,95,0,
  22:25:08 ,20,98,0,
  22:25:08 ,22,96,0,
  22:25:08 ,23,94,0,
  22:25:08 ,26,93,0,
  22:25:07 ,21,98,0,
  22:25:07 ,22,96,0,
  22:25:07 ,26,93,0,
  22:25:07 ,23,95,0,
  22:25:07 ,26,93,0,
  22:25:06 ,24,94,0,
  22:25:06 ,26,93,0,
  22:25:06 ,21,96,0,
  22:25:06 ,25,94,0,
  22:25:06 ,23,97,0,
  22:25:05 ,19,99,0,
  22:25:05 ,22,97,0,
  22:25:05 ,24,94,0,
  22:25:05 ,26,92,0,
  22:25:05 ,24,95,0,
  22:25:04 ,21,98,0,
  22:25:04 ,24,95,0,
  22:25:04 ,26,93,0,
  22:25:04 ,27,93,0,
  22:25:04 ,23,96,0,
  22:25:03 ,24,96,0,
  22:25:03 ,23,96,0,
  22:25:03 ,23,98,0,
  22:25:03 ,25,95,0,
  22:25:03 ,23,95,0,
  22:25:02 ,22,97,0,
  22:25:02 ,21,96,0,
  22:25:02 ,24,93,0,
  22:25:02 ,26,93,0,
  22:25:02 ,23,96,0,
  22:25:01 ,25,95,0,
  22:25:01 ,27,93,0,
  22:25:01 ,22,96,0,
  22:25:01 ,21,97,0,
  22:25:01 ,25,94,0,
  22:25:00 ,21,98,0,
  22:25:00 ,20,99,0,
  22:25:00 ,22,98,0,
  22:25:00 ,23,96,0,
  22:25:00 ,24,94,0,
  22:24:59 ,23,97,0,
  22:24:59 ,22,98,0,
  22:24:59 ,24,95,0,
  22:24:59 ,23,97,0,
