时间,电压传感器值,电流传感器值,位移传感器值,
  15:16:21 ,66,1,0,
  15:16:21 ,66,1,0,
  15:16:21 ,66,1,0,
  15:16:21 ,66,1,0,
  15:16:21 ,66,1,0,
  15:16:20 ,66,1,0,
  15:16:20 ,66,1,0,
  15:16:20 ,66,1,0,
  15:16:20 ,66,1,0,
  15:16:20 ,66,1,0,
  15:16:19 ,66,1,0,
  15:16:19 ,66,1,0,
  15:16:19 ,66,1,0,
  15:16:19 ,66,1,0,
  15:16:19 ,66,1,0,
  15:16:18 ,66,1,0,
  15:16:18 ,66,1,0,
  15:16:18 ,66,1,0,
  15:16:18 ,66,1,0,
  15:16:18 ,66,1,0,
  15:16:17 ,66,1,0,
  15:16:17 ,66,1,0,
  15:16:17 ,66,1,0,
  15:16:17 ,66,2,0,
  15:16:17 ,61,26,0,
  15:16:16 ,35,92,0,
  15:16:16 ,29,96,0,
  15:16:16 ,37,86,0,
  15:16:16 ,35,90,0,
  15:16:16 ,35,91,0,
  15:16:15 ,30,94,0,
  15:16:15 ,34,91,0,
  15:16:15 ,34,92,0,
  15:16:15 ,34,92,0,
  15:16:15 ,32,94,0,
  15:16:14 ,28,97,0,
  15:16:14 ,31,94,0,
  15:16:14 ,32,94,0,
  15:16:14 ,31,94,0,
  15:16:14 ,31,93,0,
  15:16:13 ,34,91,0,
  15:16:13 ,31,92,0,
  15:16:13 ,30,92,0,
  15:16:13 ,37,86,0,
  15:16:13 ,34,88,0,
  15:16:12 ,33,89,0,
  15:16:12 ,36,87,0,
  15:16:12 ,37,85,0,
  15:16:12 ,35,87,0,
  15:16:12 ,36,89,0,
  15:16:11 ,37,87,0,
  15:16:11 ,32,91,0,
  15:16:11 ,36,87,0,
  15:16:11 ,34,89,0,
  15:16:11 ,36,88,0,
  15:16:10 ,38,85,0,
  15:16:10 ,36,87,0,
  15:16:10 ,34,88,0,
  15:16:10 ,37,87,0,
  15:16:10 ,37,89,0,
  15:16:09 ,34,91,0,
  15:16:09 ,32,93,0,
  15:16:09 ,35,92,0,
  15:16:09 ,33,91,0,
  15:16:09 ,34,94,0,
  15:16:08 ,29,98,0,
  15:16:08 ,28,97,0,
  15:16:08 ,32,93,0,
  15:16:08 ,29,96,0,
  15:16:08 ,31,95,0,
  15:16:07 ,33,94,0,
  15:16:07 ,30,96,0,
  15:16:07 ,32,96,0,
  15:16:07 ,26,99,0,
  15:16:07 ,22,104,0,
  15:16:06 ,26,101,0,
  15:16:06 ,28,97,0,
  15:16:06 ,33,94,0,
  15:16:06 ,33,90,0,
  15:16:06 ,38,83,0,
  15:16:05 ,37,85,0,
  15:16:05 ,39,76,0,
  15:16:05 ,22,106,0,
  15:16:05 ,11,64,0,
  15:16:05 ,66,2,0,
  15:16:04 ,66,15,0,
  15:16:04 ,17,111,0,
  15:16:04 ,6,123,0,
  15:16:04 ,6,123,0,
  15:16:04 ,6,115,0,
  15:16:03 ,66,1,0,
  15:16:03 ,66,1,0,
  15:16:03 ,66,6,0,
  15:16:03 ,31,98,0,
  15:16:03 ,57,65,0,
  15:16:02 ,6,123,0,
  15:16:02 ,6,123,0,
  15:16:02 ,6,123,0,
  15:16:02 ,6,123,0,
  15:16:02 ,9,78,0,
  15:16:01 ,66,1,0,
  15:16:01 ,66,1,0,
  15:16:01 ,66,1,0,
  15:16:01 ,66,1,0,
